plugin,formid,editor_id,name,type,teaches,keywords,value,modding_use,validation
Dawnguard.esm,Dawnguard.esm:01AA22,DLC1_WESC04Note,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),0,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0034DC,DLC1_WESC05Note,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),0,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:016692,DLC1Book3ValuableFurTrader,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),11,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:006925,DLC1Book3ValuableSultryArgonianBardVol01,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),14,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00FAC2,DLC1BookofLifeandService,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),35,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00A83B,DLC1DarkfallCaveNote01,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),0,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01860D,DLC1DarkfallPassageNote01,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),0,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:018645,DLC1DarkfallPassageNote02,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),0,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0149A2,DLC1dunRedwaterDenJournal1,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),5,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0149A3,DLC1dunRedwaterDenJournal2,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),5,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3E5,DLC1FVBook01English,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),20,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3E0,DLC1FVBook01Falmer,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),20,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3E6,DLC1FVBook02English,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),20,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3E1,DLC1FVBook02Falmer,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),20,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3E7,DLC1FVBook03English,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),20,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3E2,DLC1FVBook03Falmer,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),20,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3E8,DLC1FVBook04English,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),20,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3E3,DLC1FVBook04Falmer,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),20,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0146DB,DLC1LD_KatriaJournal,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),15,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:006956,DLC1RH04Letter,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),0,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:006BB3,DLC1RH05BanditLetter,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),0,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007ECB,DLC1RH07Letter,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),0,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0135CB,DLC1RuunvaldJournal01,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),5,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0192F0,DLC1RuunvaldJournal02,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),5,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019578,DLC1RuunvaldJournal03,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),5,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01957A,DLC1RuunvaldJournal04,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),5,spell-learned/book-read candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01957C,DLC1RuunvaldJournal05,,BookOrTome,RawContent:4294967295,VendorItemBook (Skyrim.esm:0937A2),5,spell-learned/book-read candidate,candidate-extracted
