plugin,formid,editor_id,modding_use,detail_status,validation
Dawnguard.esm,Skyrim.esm:0237DE,BlackreachCity,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:0237D0,BlackreachSpiderLair,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:09B238,BluePalaceWing01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Update.esm:002FD0,ccPlaceholder02Interior01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Update.esm:002FD1,ccPlaceholder03Interior01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Update.esm:002FD3,ccPlaceholder05Interior01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Update.esm:002FD4,ccPlaceholder06Interior01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Update.esm:0030EC,ccPlaceholder12Interior01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Update.esm:0030EB,ccPlaceholder13Interior01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Update.esm:0030E5,ccPlaceholder19Interior01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:0152A7,CronvangrHall01,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000C99,DLC01TempleEntryCell,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:004346,DLC1DarkfallCave01,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:006F86,DLC1DarkfallCaveExterior01,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:005ABB,DLC1DarkfallPassageWayshrine01,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:005AC1,DLC1DarkfallPassageWayshrine02,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:00384F,DLC1FalmerTemple01,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000C89,DLC1FalmerValleyCaveStart,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:0093A8,DLC1ForbearsHoldoutExterior01,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:002FB7,DLC1ForebearsHoldoutEnd,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:002FBD,DLC1ForebearsHoldoutOrigin,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:002FB2,DLC1ForebearsHoldoutStart,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000C59,DLC1FVWayShrine01,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000D0A,DLC1FVWayShrine02,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000CD5,DLC1FVWayShrine03,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000C2D,DLC1FVWayShrine04,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:009BDE,DLC1HunterCave01,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:0181C8,DLC1HunterCave02,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:008E52,DLC1HunterValleyCave01,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:00285D,DLC1MolderingRuins01,ancestral/dungeon cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:00959B,DLC1MolderingRuinsExterior01,ancestral/dungeon cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:00285B,DLC1VampireCastleDungeon01,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:00285A,DLC1VampireCastleDungeon02,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000803,DLC1VampireCastleGuildhall,faction hub cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:015054,DLC1VQHoldingCell,civic authority cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000CDB,FalmerTempleExterior01,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Dawnguard.esm:000CE4,FalmerTempleExterior02,temple/shrine cell candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:0C7348,HallOfTheVigilant01,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:008FCF,HalloftheVigilantExterior01,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
Dawnguard.esm,Skyrim.esm:008FCE,HalloftheVigilantExterior02,location/cell context candidate,scan-only; read individual CELL records in xEdit/CK before implementing location or encounter-zone hooks,candidate-scan
