plugin,record_type,formid,editor_id,name,direct_condition_count,effect_condition_count,condition_keys,effects,validation
Dawnguard.esm,ENCH,Dawnguard.esm:01668F,DLC1DawnguardRuneAxeExtraDamage,,0,19,CompareOperator; ComparisonValue; Global; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,DLC1DawnguardRuneAxeIncrementKills (Dawnguard.esm:016695)|mag=0|area=0|dur=2; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=10|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=20|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=30|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=40|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=50|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=60|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=70|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=80|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=90|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=100|area=15|dur=0,extracted-summary
Dawnguard.esm,ENCH,Dawnguard.esm:011EE9,DLC1HarkonsSwordAbsorbHMS,,0,3,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,EnchAbsorbHealthFFContact (Skyrim.esm:0AA155)|mag=15|area=0|dur=1; EnchAbsorbMagickaFFContact (Skyrim.esm:0AA156)|mag=15|area=0|dur=1; EnchAbsorbStaminaFFContact (Skyrim.esm:0AA157)|mag=15|area=0|dur=1,extracted-summary
Dawnguard.esm,ENCH,Dawnguard.esm:0068AF,DLC1VampBatsAmulet,,0,1,ActorValue; CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,shieldChargeCloakEffect (Skyrim.esm:10CAAB)|mag=20|area=0|dur=0,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00FC75,crdunHarkonVampireAbsorbHealthConcAimed,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Skyrim.esm:08D5C5,crVampireAbsorbHealthConcAimed,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008B31,crVampireAbsorbHealthConcAimedCOPY0000,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Skyrim.esm:0B8778,DisDamageHealthVampire,,2,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:007CB5,DLC01_SoulTearDamageFFAimed,,1,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:007CB4,DLC01_SoulTearReanimateFFAimed,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:007CB3,DLC01_SoulTearTrapFFActor,,5,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:016874,DLC01_SoulTearWaitForDeathFX,,1,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0071E0,DLC01EnchAurielsBow,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00C601,DLC01SummonSoulHorseEffect,,2,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:011A1B,DLC1AbsorbHealthFFContact,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:013812,DLC1AlchRestoreHealthBlood,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:006785,DLC1AurielsAbsorbHealthFFContact,,2,0,CompareOperator; ComparisonValue; ItemOrList; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00AEB5,DLC1AurielsBowBeamEffect,,2,0,CompareOperator; ComparisonValue; Faction; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:006784,DLC1AurielsBowBeamEffectUndead,,2,0,CompareOperator; ComparisonValue; Faction; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00C60E,DLC1AurielsBowBlessedAreaEffect,,4,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Global; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00CE10,DLC1AurielsBowBlessedPlayerSelfEffect,,3,0,CompareOperator; ComparisonValue; Global; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018C5A,DLC1AurielsBowEclipseSelfEffect,,1,0,CompareOperator; ComparisonValue; Global; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0126B6,DLC1BatsAbsorbConcAimed,,6,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01571A,DLC1BatsEffect,,3,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018EF4,DLC1BloodPotionEffect,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008B30,DLC1CrystalSoulDrainEffect,,3,0,ActorValue; CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:016696,DLC1DawnguardRuneAxeDamageEffect,,2,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:016695,DLC1DawnguardRuneAxeIncrementKills,,1,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D1C7,DLC1dunHarkonFontAbsorbHealth,,1,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D1C9,DLC1dunHarkonFontAbsorbMagicka,,1,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D1CD,DLC1dunHarkonFontAbsorbStamina,,1,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:015711,DLC1EnchSunDamageArea,,2,0,CompareOperator; ComparisonValue; ItemOrList; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01A187,DLC1EnchSunDamageArrow,,1,0,CompareOperator; ComparisonValue; ItemOrList; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01571B,DLC1EnchSunDamageUndead,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:015710,DLC1EnchSunDamageUndeadArea,,2,0,CompareOperator; ComparisonValue; ItemOrList; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
