plugin,record_type,formid,editor_id,name,flags,interaction_keyword,workbench_type,uses_skill,items,modding_use,validation
Dawnguard.esm,CONT,Dawnguard.esm:015FDF,DLC01SC_Chest,,0,,,, x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:01611F,DLC01SC_Chest02,,0,,,, x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:0040A5,DLC01SC_ChestBoss,,0,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:015FDD,DLC01TreasSnowElfChest,,0,,,, x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:019DD6,DLC01TreasSnowElfChestBoss,,0,,,, x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:00EA8C,DLC01VQ05GemChest,,0,,,,,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:013941,DLC1dunRedwaterDenMerchantChest,,Respawns,,,, x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:014F0C,DLC1LD_AetheriumForgeMaterialsChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x,crafting station candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:00DCE7,DLC1TreasChestDarkFall01,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:015461,DLC1TreasSoulCairnChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:01692A,DLC1TreasSoulCairnChest02,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:010F28,DLC1VampireCastleHoldingChest,,0,,,,,container/furniture interaction candidate,candidate-extracted
