plugin,formid,editor_id,workbench_keyword,created_object,created_count,ingredients,modding_use,validation
Dawnguard.esm,Dawnguard.esm:005763,DLC1LD_RecipeAetherialCrown,DLC1LD_CraftingForgeAetherium (Dawnguard.esm:005756),DLC1LD_AetherialCrown (Dawnguard.esm:00575A),1,GemSapphireFlawless (Skyrim.esm:068523) x2; IngotDwarven (Skyrim.esm:0DB8A2) x2; DLC1LD_AetheriumCrestNP (Dawnguard.esm:014F0D) x1; IngotGold (Skyrim.esm:05AD9E) x2,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:005761,DLC1LD_RecipeAetherialShield,DLC1LD_CraftingForgeAetherium (Dawnguard.esm:005756),DLC1LD_AetherialShield (Dawnguard.esm:005759),1,DLC1LD_AetheriumCrestNP (Dawnguard.esm:014F0D) x1; IngotDwarven (Skyrim.esm:0DB8A2) x4; IngotMalachite (Skyrim.esm:05ADA1) x2,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:005762,DLC1LD_RecipeAetherialStaff,DLC1LD_CraftingForgeAetherium (Dawnguard.esm:005756),DLC1LD_AetherialStaff (Dawnguard.esm:00575E),1,DLC1LD_AetheriumCrestNP (Dawnguard.esm:014F0D) x1; IngotDwarven (Skyrim.esm:0DB8A2) x2; IngotEbony (Skyrim.esm:05AD9D) x2; IngotGold (Skyrim.esm:05AD9E) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0142B4,DLC1LD_TemperArmorAetherialCrown,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1LD_AetherialCrown (Dawnguard.esm:00575A),1,IngotDwarven (Skyrim.esm:0DB8A2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00CFBE,DLC1LD_TemperArmorAetherialShield,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1LD_AetherialShield (Dawnguard.esm:005759),1,IngotDwarven (Skyrim.esm:0DB8A2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:014C08,DLC1LD_TemperArmorKatria,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1LD_ArmorKatria (Dawnguard.esm:014C05),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0145C2,DLC1RecipeArmorShellbugHelmet,CraftingSmithingForge (Skyrim.esm:088105),DLC1ArmorShellbugHelmet (Dawnguard.esm:012E8A),1,DLC1ShellbugChitin (Dawnguard.esm:0195AA) x2; IngotIron (Skyrim.esm:05ACE4) x2,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003987,DLC1RecipeArrowDaedric,CraftingSmithingForge (Skyrim.esm:088105),DaedricArrow (Skyrim.esm:0139C0),24,Firewood01 (Skyrim.esm:06F993) x1; IngotEbony (Skyrim.esm:05AD9D) x1; DaedraHeart (Skyrim.esm:03AD5B) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:006928,DLC1RecipeArrowDragonbone,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneArrow (Dawnguard.esm:0176F4),24,Firewood01 (Skyrim.esm:06F993) x1; DragonBone (Skyrim.esm:03ADA4) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00B652,DLC1RecipeArrowDwarven,CraftingSmithingForge (Skyrim.esm:088105),DwarvenArrow (Skyrim.esm:0139BC),24,Firewood01 (Skyrim.esm:06F993) x1; IngotDwarven (Skyrim.esm:0DB8A2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00B651,DLC1RecipeArrowEbony,CraftingSmithingForge (Skyrim.esm:088105),EbonyArrow (Skyrim.esm:0139BF),24,Firewood01 (Skyrim.esm:06F993) x1; IngotEbony (Skyrim.esm:05AD9D) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00B655,DLC1RecipeArrowElven,CraftingSmithingForge (Skyrim.esm:088105),ElvenArrow (Skyrim.esm:0139BD),24,Firewood01 (Skyrim.esm:06F993) x1; IngotIMoonstone (Skyrim.esm:05AD9F) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00B653,DLC1RecipeArrowGlass,CraftingSmithingForge (Skyrim.esm:088105),GlassArrow (Skyrim.esm:0139BE),24,Firewood01 (Skyrim.esm:06F993) x1; IngotMalachite (Skyrim.esm:05ADA1) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00B64F,DLC1RecipeArrowIron,CraftingSmithingForge (Skyrim.esm:088105),IronArrow (Skyrim.esm:01397D),24,Firewood01 (Skyrim.esm:06F993) x1; IngotIron (Skyrim.esm:05ACE4) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00B654,DLC1RecipeArrowOrcish,CraftingSmithingForge (Skyrim.esm:088105),OrcishArrow (Skyrim.esm:0139BB),24,Firewood01 (Skyrim.esm:06F993) x1; IngotOrichalcum (Skyrim.esm:05AD99) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00B650,DLC1RecipeArrowSteel,CraftingSmithingForge (Skyrim.esm:088105),SteelArrow (Skyrim.esm:01397F),24,Firewood01 (Skyrim.esm:06F993) x1; IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010D87,DLC1RecipeBoneHawkAmulet,CraftingSmithingForge (Skyrim.esm:088105),DLC1BoneHawkAmulet (Dawnguard.esm:01AA0B),1,DLC1BoneHawkSkull (Dawnguard.esm:002993) x1; DLC1BoneHawkFeathers (Dawnguard.esm:002994) x6; LeatherStrips (Skyrim.esm:0800E4) x2,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:014637,DLC1RecipeLeatherValeDeerHide,CraftingTanningRack (Skyrim.esm:07866A),Leather01 (Skyrim.esm:0DB5D2),2,DLC1DeerHide (Dawnguard.esm:011999) x1,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:014636,DLC1RecipeLeatherValeSabreCatHide,CraftingTanningRack (Skyrim.esm:07866A),Leather01 (Skyrim.esm:0DB5D2),4,DLC1SabreCatHide (Dawnguard.esm:01199A) x1,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F814,DLC1RecipeTechBoltDwarven,CraftingSmithingForge (Skyrim.esm:088105),DLC1BoltDwarven (Dawnguard.esm:00D099),10,Firewood01 (Skyrim.esm:06F993) x1; IngotDwarven (Skyrim.esm:0DB8A2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F80A,DLC1RecipeTechBoltDwarvenExplodingFire,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1BoltDwarvenExplodingFire (Dawnguard.esm:00F1B1),10,DLC1BoltDwarven (Dawnguard.esm:00D099) x10; FireSalts (Skyrim.esm:03AD5E) x1,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F80B,DLC1RecipeTechBoltDwarvenExplodingIce,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1BoltDwarvenExplodingIce (Dawnguard.esm:00F1B7),10,DLC1BoltDwarven (Dawnguard.esm:00D099) x10; FrostSalts (Skyrim.esm:03AD5F) x1,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F80C,DLC1RecipeTechBoltDwarvenExplodingShock,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1BoltDwarvenExplodingShock (Dawnguard.esm:00F1B9),10,DLC1BoltDwarven (Dawnguard.esm:00D099) x10; VoidSalts (Skyrim.esm:03AD60) x1,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F813,DLC1RecipeTechBoltSteel,CraftingSmithingForge (Skyrim.esm:088105),DLC1BoltSteel (Dawnguard.esm:000BB3),10,Firewood01 (Skyrim.esm:06F993) x1; IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F807,DLC1RecipeTechBoltSteelExplodingFire,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1BoltSteelExplodingFire (Dawnguard.esm:00F1A0),10,DLC1BoltSteel (Dawnguard.esm:000BB3) x10; FireSalts (Skyrim.esm:03AD5E) x1,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F808,DLC1RecipeTechBoltSteelExplodingIce,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1BoltSteelExplodingIce (Dawnguard.esm:00F1BB),10,FrostSalts (Skyrim.esm:03AD5F) x1; DLC1BoltSteel (Dawnguard.esm:000BB3) x10,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F809,DLC1RecipeTechBoltSteelExplodingShock,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1BoltSteelExplodingShock (Dawnguard.esm:00F1BC),10,VoidSalts (Skyrim.esm:03AD60) x1; DLC1BoltSteel (Dawnguard.esm:000BB3) x10,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F810,DLC1RecipeTechDwarvenCrossbow,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1DwarvenCrossBow (Dawnguard.esm:00B647),1,IngotDwarven (Skyrim.esm:0DB8A2) x5,crafting signal candidate,candidate-extracted
