plugin,formid,editor_id,name,enchant_type,cast_type,target_type,charge_amount,effects,modding_use,validation
Dawnguard.esm,Dawnguard.esm:01668F,DLC1DawnguardRuneAxeExtraDamage,,Enchantment,FireAndForget,Touch,0,DLC1DawnguardRuneAxeIncrementKills (Dawnguard.esm:016695)|mag=0|area=0|dur=2; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=10|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=20|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=30|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=40|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=50|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=60|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=70|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=80|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=90|area=15|dur=0; DLC1DawnguardRuneAxeDamageEffect (Dawnguard.esm:016696)|mag=100|area=15|dur=0,combat enchantment reference,extracted
Dawnguard.esm,Dawnguard.esm:014556,DLC1DawnguardRuneHammerEnchant,,Enchantment,FireAndForget,Touch,0,DLC1RuneHammerVisualEffect (Dawnguard.esm:014557)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:006923,DLC1DawnguardRuneVisualsEnchantment,,Enchantment,FireAndForget,Touch,0,DLC1DawnguardRuneVisualsEffect (Dawnguard.esm:006924)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:01951A,DLC1EnchArmorJiubNecklace,,Enchantment,ConstantEffect,Self,1921,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=50|area=0|dur=0; EnchFortifyStaminaConstantSelf (Skyrim.esm:049507)|mag=50|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00488B,DLC1EnchArmorReflectingShield,,Enchantment,ConstantEffect,Self,5,DLC1AbFXReflectingShield (Dawnguard.esm:00488C)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:011EE9,DLC1HarkonsSwordAbsorbHMS,,Enchantment,FireAndForget,Touch,128,EnchAbsorbHealthFFContact (Skyrim.esm:0AA155)|mag=15|area=0|dur=1; EnchAbsorbMagickaFFContact (Skyrim.esm:0AA156)|mag=15|area=0|dur=1; EnchAbsorbStaminaFFContact (Skyrim.esm:0AA157)|mag=15|area=0|dur=1,combat enchantment reference,extracted
Dawnguard.esm,Dawnguard.esm:0142B1,DLC1LD_AetherialStaffEnch,,StaffEnchantment,FireAndForget,TargetLocation,0,DLC1LD_AetherialStaffEnchEffect (Dawnguard.esm:0142B2)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00CFA9,DLC1LD_EnchAetherialArmorNull,,Enchantment,ConstantEffect,Self,0,DLC1LD_EnchAetherialArmorNullEffect (Dawnguard.esm:0142AE)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:0142AA,DLC1LD_EnchKatriaBow,,Enchantment,FireAndForget,Touch,25,DLC1LD_EnchKatriaBowEffect (Dawnguard.esm:0142AB)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:01533D,DLC1LD_LavaEnch,,Enchantment,FireAndForget,Touch,0,DLC1LD_LavaEffect (Dawnguard.esm:01533C)|mag=150|area=0|dur=1; DLC1LD_LavaEffectLingering (Dawnguard.esm:015339)|mag=15|area=0|dur=4,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:01533E,DLC1LD_SteamEnch,,Enchantment,FireAndForget,Touch,0,DLC1LD_SteamEffect (Dawnguard.esm:01533B)|mag=8|area=0|dur=2; DLC1LD_SteamEffectLingering (Dawnguard.esm:01533A)|mag=2|area=0|dur=3; DLC1LD_SteamEffectHealing (Dawnguard.esm:015337)|mag=10|area=0|dur=2,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00E801,DLC1nVampireBloodMagicRingBeastEnch,,Enchantment,ConstantEffect,Self,926,RaceKhajiitUnarmedDamage (Skyrim.esm:10C4E7)|mag=20|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=100|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00E802,DLC1nVampireBloodMagicRingEruditeEnch,,Enchantment,ConstantEffect,Self,802,AbFortifyMagickaHighElf (Skyrim.esm:0CDA4B)|mag=100|area=0|dur=0; AbFortifyMagickaRate (Skyrim.esm:05312B)|mag=2|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00E7B5,DLC1nVampireBloodPlagueENCH,,Enchantment,FireAndForget,Aimed,0,DLC1nVampireBloodPlagueEffect (Dawnguard.esm:00E7B2)|mag=10|area=15|dur=10,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00E7EA,DLC1nVampireMagicaDrainClawsENCH,,Enchantment,ConstantEffect,Touch,134,DLC1nVampireMagickaDrainClaws (Dawnguard.esm:00E7E9)|mag=20|area=0|dur=0,resource enchantment reference,extracted
Dawnguard.esm,Dawnguard.esm:0069C5,DLC1SoulCairnCrystalEnch01,,Enchantment,FireAndForget,Touch,0,FrostSlowFFContact (Skyrim.esm:0B72A0)|mag=50|area=0|dur=10,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:0068AF,DLC1VampBatsAmulet,,Enchantment,ConstantEffect,Self,0,shieldChargeCloakEffect (Skyrim.esm:10CAAB)|mag=20|area=0|dur=0,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:0071DF,DLCEnchAurielsBow,,Enchantment,FireAndForget,Touch,38,DLC1EnchSunDamage (Dawnguard.esm:015719)|mag=10|area=0|dur=0; DLC1EnchSunDamageUndead (Dawnguard.esm:01571B)|mag=20|area=0|dur=0,combat enchantment reference,extracted
Dawnguard.esm,Dawnguard.esm:015718,DLCEnchAurielsBowBlessed,,Enchantment,FireAndForget,Touch,13,DLC1EnchSunDamageArrow (Dawnguard.esm:01A187)|mag=10|area=0|dur=1; DLC1EnchSunDamageUndeadArrow (Dawnguard.esm:01A188)|mag=10|area=0|dur=0,combat enchantment reference,extracted
Dawnguard.esm,Skyrim.esm:045F89,EnchWeaponShockDamage04,,Enchantment,FireAndForget,Touch,30,EnchShockDamageFFContact (Skyrim.esm:04605C)|mag=20|area=0|dur=1,combat enchantment reference,extracted
Dawnguard.esm,Skyrim.esm:05B45D,EnchWeaponStaminaDamage05,,Enchantment,FireAndForget,Touch,51,EnchStaminaDamageFFContact (Skyrim.esm:05B450)|mag=25|area=0|dur=0,combat enchantment reference,extracted
Dawnguard.esm,Dawnguard.esm:00427C,TestEnchAxeFX,,Enchantment,FireAndForget,Touch,40,EnchAbsorbHealthFFContact (Skyrim.esm:0AA155)|mag=10|area=0|dur=1,combat enchantment reference,extracted
Dawnguard.esm,Dawnguard.esm:00F3C7,TrapPoisonBloomGasEnch01,,Enchantment,FireAndForget,Touch,0,TrapPoisonGasMagicEffect (Skyrim.esm:09F28F)|mag=5|area=0|dur=6,enchantment effect reference,extracted
