plugin,formid,editor_id,flags,crime_values,relations,ranks,modding_use,validation
Dawnguard.esm,Dawnguard.esm:013814,DLC1_BF_BossFightFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1_BF_BossFightFaction (Dawnguard.esm:013814):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:014BFA,DLC1_WESC09Faction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1_WESC09Faction (Dawnguard.esm:014BFA):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:010EC1,DLC1DawnguardExteriorGuardFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,crime/hold/civic signal,extracted
Dawnguard.esm,Dawnguard.esm:014217,DLC1DawnguardFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,crime/hold/civic signal,extracted
Dawnguard.esm,Dawnguard.esm:019818,DLC1DexionThrall,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1DexionThrall (Dawnguard.esm:019818):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00E65D,DLC1dunHarkonBattleAllyFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1dunHarkonBattleEnemyFaction (Dawnguard.esm:00FC7E):Enemy; DLC1dunHarkonBattleAllyFaction (Dawnguard.esm:00E65D):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00FC7E,DLC1dunHarkonBattleEnemyFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1dunHarkonBattleAllyFaction (Dawnguard.esm:00E65D):Enemy,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:008E1E,DLC1dunRedwaterDenFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1dunRedwaterDenFaction (Dawnguard.esm:008E1E):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01393F,DLC1dunRedwaterDenMerchant,"HiddenFromPC, Vendor, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,:; :,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0083A6,DLC1DurnehviirEnemyFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0083A5,DLC1DurnehviirFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:016849,DLC1FerrySystemFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01681B,DLC1GeleborFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1GeleborFaction (Dawnguard.esm:01681B):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:014638,DLC1GunmarFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1GunmarFaction (Dawnguard.esm:014638):Ally,,faction signal candidate,extracted
