plugin,formid,editor_id,item_count,items,modding_use,validation
Dawnguard.esm,Dawnguard.esm:0034F7,DLC1_WESC04_VampireVoiceTypes,3,FemaleSultry (Skyrim.esm:013AE0); FemaleCondescending (Skyrim.esm:013AE4); DLC1FemaleVampire (Dawnguard.esm:0176F8),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013ECD,DLC1BloodPointsProhibitedRaces,22,ChickenRace (Skyrim.esm:0A919D); SlaughterfishRace (Skyrim.esm:013203); HareRace (Skyrim.esm:06DC99); FoxRace (Skyrim.esm:109C7C); WispShadeRace (Skyrim.esm:0F1182); WispRace (Skyrim.esm:013208); DLC1SoulCairnSoulWispRace (Dawnguard.esm:002AE0); C06WolfSpiritRace (Skyrim.esm:106C10); DLC1LD_ForgemasterRace (Dawnguard.esm:015C34); ManakinRace (Skyrim.esm:10760A); SwarmRace (Skyrim.esm:09AA3C); WitchlightRace (Skyrim.esm:013209); AlduinRace (Skyrim.esm:0E7713); DragonRace (Skyrim.esm:012E82); DLC1BlackSkeletonRace (Dawnguard.esm:019FD3); DLC1SoulCairnSkeletonArmorRace (Dawnguard.esm:00894D); DLC1SoulCairnSkeletonNecroRace (Dawnguard.esm:006AFA); SkeletonArmorRace (Dawnguard.esm:0023E2); SkeletonNecroPriestRace (Skyrim.esm:0EBE18); SkeletonNecroRace (Skyrim.esm:0EB872); SkeletonRace (Skyrim.esm:0B7998); DLC1UndeadDragonRace (Dawnguard.esm:0117DE),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010E03,DLC1critterInsectsAncestorMothsPlayerFollow,1,DLC1CritterMothAncestorPlayerFollow (Dawnguard.esm:010DFE),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0071C8,DLC1critterInsectsAncestorMothss,1,DLC1CritterMothAncestor (Dawnguard.esm:0071C4),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003424,DLC1DefaultPackageList,104,DLC1FeedOnTableThrall247 (Dawnguard.esm:00CD54); DLC1DefaultEatBreakfast1_256 (Dawnguard.esm:003434); DLC1DefaultEatBreakfast1_128 (Dawnguard.esm:003433); DLC1DefaultEatBreakfast1_512 (Dawnguard.esm:003435); DLC1DefaultEatBreakfast1_768 (Dawnguard.esm:003436); DLC1DefaultEatBreakfast1_1024 (Dawnguard.esm:003437); DLC1DefaultEatBreakfast2_128 (Dawnguard.esm:003438); DLC1DefaultEatBreakfast2_256 (Dawnguard.esm:003439); DLC1DefaultEatBreakfast2_512 (Dawnguard.esm:00343A); DLC1DefaultEatBreakfast2_768 (Dawnguard.esm:00343B); DLC1DefaultEatBreakfast2_1024 (Dawnguard.esm:00343C); DLC1DefaultEatDinner1_128 (Dawnguard.esm:00343D); DLC1DefaultEatDinner1_256 (Dawnguard.esm:00343E); DLC1DefaultEatDinner1_512 (Dawnguard.esm:00343F); DLC1DefaultEatDinner1_768 (Dawnguard.esm:003440); DLC1DefaultEatDinner1_1024 (Dawnguard.esm:003441); DLC1DefaultEatDinner2_128 (Dawnguard.esm:003442); DLC1DefaultEatDinner2_256 (Dawnguard.esm:003443); DLC1DefaultEatDinner2_512 (Dawnguard.esm:003444); DLC1DefaultEatDinner2_768 (Dawnguard.esm:003445); DLC1DefaultEatDinner2_1024 (Dawnguard.esm:003446); DLC1DefaultEatLunch1_128 (Dawnguard.esm:003447); DLC1DefaultEatLunch1_256 (Dawnguard.esm:003448); DLC1DefaultEatLunch1_512 (Dawnguard.esm:003449); DLC1DefaultEatLunch1_768 (Dawnguard.esm:00344A); DLC1DefaultEatLunch1_1024 (Dawnguard.esm:00344B); DLC1DefaultEatLunch2_128 (Dawnguard.esm:00344C); DLC1DefaultEatLunch2_256 (Dawnguard.esm:00344D); DLC1DefaultEatLunch2_512 (Dawnguard.esm:00344E); DLC1DefaultEatLunch2_768 (Dawnguard.esm:00344F); DLC1DefaultEatLunch2_1024 (Dawnguard.esm:003450); DLC1DefaultSleepNight1_128 (Dawnguard.esm:003465); DLC1DefaultSleepNight1_256 (Dawnguard.esm:003466); DLC1DefaultSleepNight1_512 (Dawnguard.esm:003467); DLC1DefaultSleepNight1_768 (Dawnguard.esm:003468); DLC1DefaultSleepNight1_1024 (Dawnguard.esm:003469); DLC1DefaultSleepNight2_128 (Dawnguard.esm:00346A); DLC1DefaultSleepNight2_256 (Dawnguard.esm:00346B); DLC1DefaultSleepNight2_512 (Dawnguard.esm:00346C); DLC1DefaultSleepNight2_768 (Dawnguard.esm:00346D); ... +64 more,curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00D1C1,DLC1dunHarkonBossBattleCombatOverride,5,DLC1dunHarkonWaitForTeleportDeath (Dawnguard.esm:0138C4); DLC1dunHarkonWaitForTeleport (Dawnguard.esm:00D20D); DLC1dunHarkonHoldPositionMagic (Dawnguard.esm:00D65D); DLC1dunHarkonHoldPositionMelee (Dawnguard.esm:00D65E); DLC1dunHarkonCastInvulnerabilityShield (Dawnguard.esm:00D1C0),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F4E4,DLC1dunHarkonGargoyleList,1,DLC1dunHarkonEncGargoyleSummon (Dawnguard.esm:00F4E3),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003F4F,DLC1FlorentiusVendorItems,10,VendorItemRecipe (Skyrim.esm:0F5CB0); VendorItemFoodRaw (Skyrim.esm:0A0E56); VendorItemPotion (Skyrim.esm:08CDEC); VendorItemPoison (Skyrim.esm:08CDED); VendorItemIngredient (Skyrim.esm:08CDEB); VendorItemFood (Skyrim.esm:08CDEA); VendorItemAnimalPart (Skyrim.esm:0914EB); VendorItemStaff (Skyrim.esm:0937A4); VendorItemScroll (Skyrim.esm:0A0E57); VendorItemSpellTome (Skyrim.esm:0937A5),vendor/economy record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0142BB,DLC1LD_AetherialStaffScrapList,10,DwarvenCog (Skyrim.esm:0AEBF1); DwarvenGear (Skyrim.esm:0C8861); DwarvenGyro (Skyrim.esm:0C8868); DwarvenScrapBent (Skyrim.esm:0C886C); DwarvenScrapLever (Skyrim.esm:0C886E); DwarvenScrapLever02 (Skyrim.esm:0C8870); DwarvenScrapMetal (Skyrim.esm:0C886A); DwarvenLargeScrap (Skyrim.esm:0C8872); DwarvenLargeScrap2 (Skyrim.esm:0C8874); DwarvenLargeScrap3 (Skyrim.esm:0C8878),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:015C37,DLC1LD_ForgemasterCombatPackageList,2,DLC1LD_ForgemasterRunIn (Dawnguard.esm:015C66); DLC1LD_ForgemasterHoldPosition512 (Dawnguard.esm:019DB3),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01538A,DLC1LD_KatriaHoldPositionList,1,DLC1LD_BthalftKatriaCombatHoldPositionExterior (Dawnguard.esm:014F1B),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00D009,DLC1LD_KatriaVoicetype,1,DLC1LD_FemaleNordUniqueKatria (Dawnguard.esm:00A2BD),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010A43,DLC1LibraryBookList,225,Book0AhzirrTraajijazeri (Skyrim.esm:01AFF3); Book0ArgonianAccountBook1 (Skyrim.esm:01AFD7); Book0ArgonianAccountBook3 (Skyrim.esm:01AFFC); Book0BlackArrowV1 (Skyrim.esm:01AFC2); Book0DanceInFireV1 (Skyrim.esm:01AFC0); Book0DanceInFireV3 (Skyrim.esm:01AFD4); Book0DanceInFireV4 (Skyrim.esm:01AFC1); Book0ImmortalBlood (Skyrim.esm:01AFF1); Book0MysteryOfTalaraV1 (Skyrim.esm:01AFC3); Book0NightingalesFactOrFiction (Skyrim.esm:0ED039); Book0PallaV1 (Skyrim.esm:01AFFE); Book0RansomOfZarek (Skyrim.esm:01AFD3); Book0Shadowmarks (Skyrim.esm:0F84A1); Book0WolfQueenV2 (Skyrim.esm:01AFF2); Book0WolfQueenV3 (Skyrim.esm:01AFFB); Book0WolfQueenV4 (Skyrim.esm:01B00B); Book0WolfQueenV5 (Skyrim.esm:01B024); Book0WolfQueenV7 (Skyrim.esm:01B026); Book1CheapBiographyofBarenziahvI (Skyrim.esm:01ACB5); Book1CheapBiographyofBarenziahvII (Skyrim.esm:01ACB6); Book1CheapBiographyofBarenziahvIII (Skyrim.esm:01ACB7); Book1CheapBriefHistoryoftheEmpirev1 (Skyrim.esm:01ACB9); Book1CheapBriefHistoryoftheEmpirev2 (Skyrim.esm:01ACBA); Book1CheapBriefHistoryoftheEmpirev3 (Skyrim.esm:01ACBB); Book1CheapBriefHistoryoftheEmpirev4 (Skyrim.esm:01ACBC); Book1CheapCombatTips (Skyrim.esm:0EDD35); Book1CheapHorkers (Skyrim.esm:0ED604); Book1CheapKolbAndTheDragon (Skyrim.esm:0EF53E); Book1CheapNineHolds (Skyrim.esm:0ED030); Book1CheapNordsArise (Skyrim.esm:0ED161); Book1CheapOlafAndTheDragon (Skyrim.esm:0EB090); Book1CheapReportDisasterIonith (Skyrim.esm:01ACC6); Book1CheapSheogorathMyths (Skyrim.esm:01ACB8); Book1CheapTheCityofStone (Skyrim.esm:07EBC2); Book1CheapTheCodeofMalacath (Skyrim.esm:07EBC9); Book1CheapTheYellowBookofRiddles (Skyrim.esm:01B274); Book1CheapUncommonTaste (Skyrim.esm:09F267); Book1CheapWhiterun (Skyrim.esm:0ED02E); Book2CommonAlduinEntAkatosh (Skyrim.esm:0EA5B0); Book2CommonAMinorMaze (Skyrim.esm:0F1AB3); ... +185 more,curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0050C3,DLC1RadiantHighProfileFactions,12,GovRuling (Skyrim.esm:03662A); CompanionsCirclePlusKodlak (Skyrim.esm:109C71); CWFieldCOFaction (Skyrim.esm:0C4A99); GovExiled (Skyrim.esm:036629); JobBardFaction (Skyrim.esm:053514); JobBlacksmithFaction (Skyrim.esm:05091D); JobCourtWizardFaction (Skyrim.esm:05091E); JobHousecarlFaction (Skyrim.esm:05091F); JobInnkeeperFaction (Skyrim.esm:05091B); JobJusticiar (Skyrim.esm:05CCAE); JobMerchantFaction (Skyrim.esm:051596); JobPriestFaction (Skyrim.esm:05159A),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:006786,DLC1RH04Voices,8,FemaleCondescending (Skyrim.esm:013AE4); FemaleEvenToned (Skyrim.esm:013ADD); FemaleNord (Skyrim.esm:013AE7); FemaleSultry (Skyrim.esm:013AE0); MaleEvenToned (Skyrim.esm:013AD2); MaleNord (Skyrim.esm:013AE6); MaleSlyCynical (Skyrim.esm:013AD5); MaleCondescending (Skyrim.esm:013AD9),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002B71,DLC1RNPCVoiceTypes,1,DLC1SeranaVoice (Dawnguard.esm:002B6F),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00504D,DLC1SeranaCureFactionRemovalList,2,DLC1VampireFaction (Dawnguard.esm:003376); VampireFaction (Skyrim.esm:027242),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00504E,DLC1SeranaCureKeywordRemovalList,2,Vampire (Skyrim.esm:0A82BB); ActorTypeUndead (Skyrim.esm:013796),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00504F,DLC1SeranaCureSpellRemovalList,86,AbVampire01 (Skyrim.esm:02E1C3); AbVampire01b (Skyrim.esm:10F1EB); AbVampire02 (Skyrim.esm:0ED099); AbVampire02b (Skyrim.esm:10F1EA); AbVampire03 (Skyrim.esm:0ED09D); AbVampire03b (Skyrim.esm:10F1E9); AbVampire04 (Skyrim.esm:0ED09E); AbVampire04b (Skyrim.esm:10F1E8); DLC1AbVampireLord (Dawnguard.esm:003577); AbVampireSkills (Skyrim.esm:0F5B54); AbVampireSkills02 (Skyrim.esm:10F1E7); crAbVampire (Skyrim.esm:0F5B5C); CrVampireDrain00 (Skyrim.esm:107AA1); CrVampireDrain01 (Skyrim.esm:0F5B58); crVampireDrain02 (Skyrim.esm:0F5B59); crVampireDrain03 (Skyrim.esm:0F5B5A); crVampireDrain04 (Skyrim.esm:0F5B5B); crVampireDrain05 (Skyrim.esm:08D5C3); crVampireDrain06 (Skyrim.esm:08D5C7); crVampireSunDamage (Skyrim.esm:0F5B5D); crVampireUnarmedDamage02 (Skyrim.esm:0EA077); crVampireUnarmedDamage03 (Skyrim.esm:0EA078); crVampireUnarmedDamage04 (Skyrim.esm:0EA079); crVampireUnarmedDamage05 (Skyrim.esm:0EA07A); crVampireUnarmedDamage06 (Skyrim.esm:0EA07B); DLC1AbVampireFloatBodyFX (Dawnguard.esm:015FC7); DLC1crVampireDrain07 (Dawnguard.esm:002838); DLC1crVampireUnarmedDamage07 (Dawnguard.esm:002839); DLC1PlayerVampireLvl10AndBelowAbility (Dawnguard.esm:007A36); DLC1PlayerVampireLvl15AndBelowAbility (Dawnguard.esm:007A37); DLC1PlayerVampireLvl20AndBelowAbility (Dawnguard.esm:007A38); DLC1PlayerVampireLvl25AndBelowAbility (Dawnguard.esm:007A39); DLC1PlayerVampireLvl30AndBelowAbility (Dawnguard.esm:007A3A); DLC1PlayerVampireLvl35AndBelowAbility (Dawnguard.esm:007A3B); DLC1PlayerVampireLvl40AndBelowAbility (Dawnguard.esm:007A3C); DLC1PlayerVampireLvl45AndBelowAbility (Dawnguard.esm:007A3D); DLC1PlayerVampireLvl50AndOverAbility (Dawnguard.esm:007A3E); DLC1VampireBats (Dawnguard.esm:0038B9); DLC1VampireCalm (Dawnguard.esm:005889); DLC1VampireChalicePower (Dawnguard.esm:01419B); ... +46 more,magic/effect record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00515F,DLC1SoulCairnWispSpellsList,7,DLC1VampiresBane (Dawnguard.esm:0038B6); DLC1SunFire (Dawnguard.esm:003F52); DLC1VampireDrain09Alt (Dawnguard.esm:019AD7); DLC1VampireDrain08Alt (Dawnguard.esm:019AD6); DLC1VampireDrain07Alt (Dawnguard.esm:019AD5); DLC1VampireDrain06Alt (Dawnguard.esm:019326); DLC1VampireDrain05Alt (Dawnguard.esm:019324),magic/effect record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00EB57,DLC1SoulCairnWispSpellsListDG,2,DLC1VampiresBane (Dawnguard.esm:0038B6); DLC1SunFire (Dawnguard.esm:003F52),magic/effect record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00EBA4,DLC1SoulCairnWispSpellsListVAMP,5,DLC1VampireDrain09Alt (Dawnguard.esm:019AD7); DLC1VampireDrain08Alt (Dawnguard.esm:019AD6); DLC1VampireDrain07Alt (Dawnguard.esm:019AD5); DLC1VampireDrain06Alt (Dawnguard.esm:019326); DLC1VampireDrain05Alt (Dawnguard.esm:019324),magic/effect record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A688,DLC1TrapGasMagicDrawn,0,,magic/effect record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A686,DLC1TrapGasOnEnter,0,,curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A687,DLC1TrapGasOnHit,3,DLC1BoltExplosionFire03 (Dawnguard.esm:00F1B5); DLC1BoltDwarvenProjectileExplodingFire (Dawnguard.esm:00F1B0); DLC1BoltSteelProjectileFire (Dawnguard.esm:00F1BA),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A689,DLC1TrapGasOnMagicEffectApply,0,,magic/effect record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A685,DLC1trapGasWeapon,1,DLC1BoltExplosionFire03 (Dawnguard.esm:00F1B5),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0117F3,DLC1TrollVoices,1,CrTrollVoice (Skyrim.esm:01F289),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00989F,DLC1VampireHateFactions,20,DB09TowerFaction (Skyrim.esm:10FE28); CrimeFactionNull (Skyrim.esm:02B036); KarthwastenSilverFishGuards (Skyrim.esm:0622E6); CrimeFactionCidhnaMine (Skyrim.esm:10B1FC); CrimeFactionGreybeard (Skyrim.esm:10F72B); CrimeFactionKhajiitCaravans (Skyrim.esm:10CEE9); CrimeFactionWinterhold (Skyrim.esm:02816F); CrimeFactionWhiterun (Skyrim.esm:0267EA); CrimeFactionSons (Skyrim.esm:028849); CrimeFactionRift (Skyrim.esm:02816B); CrimeFactionReach (Skyrim.esm:02816C); CrimeFactionPale (Skyrim.esm:02816E); CrimeFactionOrcs (Skyrim.esm:028713); CrimeFactionImperial (Skyrim.esm:028848); CrimeFactionHjaalmarch (Skyrim.esm:02816D); CrimeFactionHaafingar (Skyrim.esm:029DB0); CrimeFactionFalkreath (Skyrim.esm:028170); CrimeFactionEastmarch (Skyrim.esm:0267E3); CompanionsFaction (Skyrim.esm:048362); VigilantOfStendarrFaction (Skyrim.esm:0B3292),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019AD9,DLC1VampireSpellsPowers,20,DLC1VampiresGrip (Dawnguard.esm:0038B7); DLC1VampireDetectLife (Dawnguard.esm:0038B8); DLC1VampireBats (Dawnguard.esm:0038B9); DLC1VampireRaiseDeadLeftHand01 (Dawnguard.esm:00BA54); DLC1ConjureGargoyleLeftHand (Dawnguard.esm:016909); DLC1CorpseCurseLeftHand (Dawnguard.esm:008A6F); DLC1VampireMistform (Dawnguard.esm:0038BA); DLC1VampireImmolate (Dawnguard.esm:0029AC); DLC1RevertForm (Dawnguard.esm:00CD5C); DLC1nVampireReflexSpell (Dawnguard.esm:0068B6); DLC1nVampireDrainShadeSpell (Dawnguard.esm:00E7C7); DLC1nVampireBloodPlagueSpell (Dawnguard.esm:00E7B1); DLC1nVampireBloodCloakSpell (Dawnguard.esm:00E7AF); DLC1nVampireBloodyGripSpell (Dawnguard.esm:00E7D2); DLC1SupernaturalReflexes (Dawnguard.esm:0038BC); DLC1VampireRaiseDeadLeftHand02 (Dawnguard.esm:013EC8); DLC1VampireRaiseDeadLeftHand03 (Dawnguard.esm:013EC9); DLC1VampireRaiseDeadLeftHand04 (Dawnguard.esm:013ECA); DLC1VampireRaiseDeadLeftHand05 (Dawnguard.esm:013ECB); VampireHuntersSight (Skyrim.esm:0C4DE1),magic/effect record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:005E57,DLC1VoicesNonUnique,23,FemaleChild (Skyrim.esm:013AE9); FemaleCommoner (Skyrim.esm:013ADE); FemaleCondescending (Skyrim.esm:013AE4); FemaleCoward (Skyrim.esm:013AE5); FemaleElfHaughty (Skyrim.esm:013AF1); FemaleEvenToned (Skyrim.esm:013ADD); FemaleNord (Skyrim.esm:013AE7); FemaleSultry (Skyrim.esm:013AE0); MaleChild (Skyrim.esm:013AE8); MaleElfHaughty (Skyrim.esm:013AF0); MaleEvenToned (Skyrim.esm:013AD2); MaleGuard (Skyrim.esm:0AA8D3); MaleNord (Skyrim.esm:013AE6); MaleNordCommander (Skyrim.esm:0E5003); MaleOldGrumpy (Skyrim.esm:013AD7); MaleOrc (Skyrim.esm:013AEA); MaleSlyCynical (Skyrim.esm:013AD5); MaleYoungEager (Skyrim.esm:013AD1); FemaleCommander (Skyrim.esm:013AE3); MaleCommander (Skyrim.esm:013AD8); MaleCondescending (Skyrim.esm:013AD9); FemaleYoungEager (Skyrim.esm:013ADC); MaleCommonerAccented (Skyrim.esm:0EA266),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0162F6,DLC1VoicesThralls,4,FemaleCoward (Skyrim.esm:013AE5); FemaleNord (Skyrim.esm:013AE7); MaleNord (Skyrim.esm:013AE6); MaleYoungEager (Skyrim.esm:013AD1),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:014FAD,DLC1VoicesUnique,9,DLC1FemaleUniqueFura (Dawnguard.esm:007C48); DLC1FemaleUniqueValerica (Dawnguard.esm:007A32); DLC1MaleUniqueFlorentius (Dawnguard.esm:007C46); DLC1MaleUniqueGaran (Dawnguard.esm:007C47); DLC1MaleUniqueGunmar (Dawnguard.esm:007C45); DLC1MaleUniqueHarkon (Dawnguard.esm:007D86); DLC1MaleUniqueIsran (Dawnguard.esm:007C44); DLC1SeranaVoice (Dawnguard.esm:002B6F); DLC1MaleUniqueDexion (Dawnguard.esm:0181C3),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017A06,DLC1VQ03Innkeepers,3,Hulda (Skyrim.esm:013BA3); CorpulusVinius (Skyrim.esm:013266); SorexVinius (Skyrim.esm:0132A7),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0059DB,DLC1VQ03MothpriestCombatStack,5,VQ03MothpriestWithdrawCombatOverridePackage01 (Dawnguard.esm:0059D0); VQ03MothpriestWithdrawCombatOverridePackage02 (Dawnguard.esm:0059D7); VQ03MothpriestWithdrawCombatOverridePackage03 (Dawnguard.esm:0059D8); VQ03MothpriestWithdrawCombatOverridePackage04 (Dawnguard.esm:0059D9); VQ03MothpriestWithdrawCombatOverridePackage05 (Dawnguard.esm:0059DA),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0110CA,DLC1VQ08AgmaerStormTheCastleOverrideStack,1,DLC1VQ08AgmaerStormTheCastleOverridePackage (Dawnguard.esm:0113BC),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0110CB,DLC1VQ08BelevalStormTheCastleOverrideStack,1,DLC1VQ08BelevalStormTheCastleOverridePackage (Dawnguard.esm:0113BD),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0110CC,DLC1VQ08CelannStormTheCastleOverrideStack,1,DLC1VQ08CelannStormTheCastleOverridePackage (Dawnguard.esm:0113BE),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0110CD,DLC1VQ08DurakStormTheCastleOverrideStack,1,DLC1VQ08DurakStormTheCastleOverridePackage (Dawnguard.esm:0113BF),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011E2F,DLC1VQ08flBossRoomTrackingList,0,,curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0110CE,DLC1VQ08FlorentiusStormTheCastleOverrideStack,1,DLC1VQ08FlorentiusStormTheCastleOverridePackage (Dawnguard.esm:0113C0),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011190,DLC1VQ08GunmarStormTheCastleOverrideStack,1,DLC1VQ08GunmarStormTheCastleOverridePackage (Dawnguard.esm:0113C3),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011192,DLC1VQ08IngjardStormTheCastleOverrideStack,1,DLC1VQ08IngjardStormTheCastleOverridePackage (Dawnguard.esm:0113C4),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0110C8,DLC1VQ08IsranStormTheCastleOverrideStack,1,DLC1VQ08IsranStormTheCastleOverridePackage (Dawnguard.esm:0110C9),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011193,DLC1VQ08SorineStormTheCastleOverrideStack,1,DLC1VQ08SorineStormTheCastleOverridePackage (Dawnguard.esm:0113C5),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111A2,DLC1VQ08VCuSithStormTheCastleOverrideStack,1,DLC1VQ08VCuSithStormTheCastleOverridePackage (Dawnguard.esm:0113C6),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111A3,DLC1VQ08VFeranStormTheCastleOverrideStack,1,DLC1VQ08VFeranStormTheCastleOverridePackage (Dawnguard.esm:0113C7),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111A5,DLC1VQ08VFuraStormTheCastleOverrideStack,1,DLC1VQ08VFuraStormTheCastleOverridePackage (Dawnguard.esm:0113C8),curated record set,candidate-extracted
