plugin,formid,editor_id,modding_use,detail_status,validation
Dawnguard.esm,Dawnguard.esm:015371,defaultHoldPositionLinkCustom02_1024UntilReleasedList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:01A719,DLC01SoulCairnCritterlist,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:00EA76,DLC01SoulCairnKeeperHoldList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:002912,DLC01SoulcairnLRodGemList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:0034F7,DLC1_WESC04_VampireVoiceTypes,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:013ECD,DLC1BloodPointsProhibitedRaces,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:010E03,DLC1critterInsectsAncestorMothsPlayerFollow,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:0071C8,DLC1critterInsectsAncestorMothss,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:003424,DLC1DefaultPackageList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:00D1C1,DLC1dunHarkonBossBattleCombatOverride,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:00F4E4,DLC1dunHarkonGargoyleList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:003F4F,DLC1FlorentiusVendorItems,vendor/economy record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:0142BB,DLC1LD_AetherialStaffScrapList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:015C37,DLC1LD_ForgemasterCombatPackageList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:01538A,DLC1LD_KatriaHoldPositionList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:00D009,DLC1LD_KatriaVoicetype,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:010A43,DLC1LibraryBookList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:0050C3,DLC1RadiantHighProfileFactions,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:006786,DLC1RH04Voices,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:002B71,DLC1RNPCVoiceTypes,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
Dawnguard.esm,Dawnguard.esm:00504D,DLC1SeranaCureFactionRemovalList,curated record set,scan-only; use detailed candidate table or local xEdit/CK inspection for items,candidate-scan
