plugin,record_type,formid,editor_id,name,keywords,flags,value,weight,semantic_tag_candidate,validation
Dawnguard.esm,ALCH,Dawnguard.esm:014DC4,DLC1FoodSoulHusk,,VendorItemFood (Skyrim.esm:08CDEA),"NoAutoCalc, FoodItem",1,0.1,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dawnguard.esm,ALCH,Dawnguard.esm:015A1E,DLC1FoodSoulHuskExtract,,VendorItemPotion (Skyrim.esm:08CDEC),0,254,0.5,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dawnguard.esm,ARMO,Dawnguard.esm:00CAD3,DLC1IvoryCuirassAlternate,,ArmorLight (Skyrim.esm:06BBD3); VendorItemArmor (Skyrim.esm:08F959); ArmorCuirass (Skyrim.esm:06C0EC); ArmorMaterialElven (Skyrim.esm:06BBD9),,50,7,SkyrimRef_CraftLaborCandidate,candidate-extracted
Dawnguard.esm,ARMO,Dawnguard.esm:00CFB2,DLC1LD_ArmorHideGauntletsNP,,ArmorLight (Skyrim.esm:06BBD3); ArmorMaterialHide (Skyrim.esm:06BBDD); ArmorGauntlets (Skyrim.esm:06C0EF); VendorItemArmor (Skyrim.esm:08F959),,10,1,SkyrimRef_CraftLaborCandidate,candidate-extracted
Dawnguard.esm,ARMO,Dawnguard.esm:016689,DLC1SkinTrollArmored,,,,0,0,SkyrimRef_CraftLaborCandidate,candidate-extracted
Dawnguard.esm,ARMO,Dawnguard.esm:016688,DLC1SkinTrollFrostArmored,,,,0,0,SkyrimRef_CraftLaborCandidate,candidate-extracted
Dawnguard.esm,ARMO,Dawnguard.esm:018B31,SkinHuskyArmored,,,,0,0,SkyrimRef_CraftLaborCandidate,candidate-extracted
Dawnguard.esm,INGR,Dawnguard.esm:00B097,DLC01GlowPlant01Ingredient,,VendorItemIngredient (Skyrim.esm:08CDEB),0,5,0.1,SkyrimRef_PlantMatterCandidate,candidate-extracted
Dawnguard.esm,INGR,Dawnguard.esm:0185FB,DLC01PoisonBloom,,,0,5,0.25,SkyrimRef_PoisonCandidate,candidate-extracted
Dawnguard.esm,INGR,Dawnguard.esm:002A78,DLC1MountainFlower01Yellow,,VendorItemIngredient (Skyrim.esm:08CDEB); GiftFlower (Skyrim.esm:0A0E54),0,2,0.1,SkyrimRef_PlantMatterCandidate,candidate-extracted
Dawnguard.esm,WEAP,Dawnguard.esm:011D58,DLC1StaffFalmerConjureFlameAtronach,,WeapTypeStaff (Skyrim.esm:01E716); VendorItemStaff (Skyrim.esm:0937A4),,,,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dragonborn.esm,ALCH,Dragonborn.esm:03572F,DLC2FoodAshfireMead,,VendorItemFood (Skyrim.esm:08CDEA),"NoAutoCalc, FoodItem",50,0.5,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dragonborn.esm,ALCH,Dragonborn.esm:03D125,DLC2FoodAshHopperLeg,,VendorItemFood (Skyrim.esm:08CDEA),FoodItem,2,1,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dragonborn.esm,ALCH,Dragonborn.esm:03BD15,DLC2FoodAshHopperMeat,,VendorItemFood (Skyrim.esm:08CDEA),FoodItem,2,0.5,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dragonborn.esm,ALCH,Dragonborn.esm:0206E7,DLC2FoodAshYam,,VendorItemFood (Skyrim.esm:08CDEA),"NoAutoCalc, FoodItem",1,0.1,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dragonborn.esm,ALCH,Dragonborn.esm:03BD14,DLC2FoodBoarMeat,,VendorItemFood (Skyrim.esm:08CDEA),FoodItem,2,1,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dragonborn.esm,ALCH,Dragonborn.esm:03CF72,DLC2FoodBoarMeatCooked,,VendorItemFood (Skyrim.esm:08CDEA),FoodItem,15,1,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
Dragonborn.esm,ALCH,Dragonborn.esm:03CD5B,DLC2FoodHorkerAshYamStew,,,"NoAutoCalc, FoodItem",9,0.5,SkyrimRef_FoodOrMeatCandidate,candidate-extracted
