plugin,formid,editor_id,modding_read,validation
Dawnguard.esm,Dawnguard.esm:01269F,ActorTypeDLC1Boss,actor classification,extracted
Dawnguard.esm,Dawnguard.esm:0191FE,ActorTypeMount,actor classification,extracted
Dawnguard.esm,Dawnguard.esm:00A2CB,ActorTypeVampireBrute,actor classification,extracted
Dawnguard.esm,Dawnguard.esm:00BDD8,DLC01SoulHorseEnd,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00BDD7,DLC01SoulHorseStart,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00A25C,DLC1_ScrapeBarkKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:007060,DLC1_SnowElfThroneKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00A25A,DLC1_WayShrineWaterPourKeyWord,religion/quest/lore context candidate,extracted
Dawnguard.esm,Dawnguard.esm:00A25B,DLC1_WayShrineWaterScoopKeyword,religion/quest/lore context candidate,extracted
Dawnguard.esm,Dawnguard.esm:012CCD,DLC1ArmorMaterialDawnguard,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:012CCE,DLC1ArmorMaterialFalmerHardened,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:0050C4,DLC1ArmorMaterialHunter,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:01463E,DLC1ArmorMaterialVampire,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:012CCF,DLC1ArmorMaterielFalmerHeavy,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:012CD0,DLC1ArmorMaterielFalmerHeavyOriginal,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:01223C,DLC1ArvakExclusion,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00CBC0,DLC1AurielsConditionalExplosionKeyword,religion/quest/lore context candidate,extracted
Dawnguard.esm,Dawnguard.esm:014193,DLC1BloodChaliceActivate,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:015039,DLC1BloodPortal,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:019D96,DLC1BthalftSoundLink,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:019909,DLC1CoffinPuzzleBowl,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00F806,DLC1CraftingDawnguard,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00399C,DLC1CrossbowIsEnhanced,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:01542A,DLC1CrystalDrainKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00D83B,DLC1DawnguardArmorBody,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:00D83C,DLC1DawnguardArmorBoots,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:00D83D,DLC1DawnguardArmorGloves,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:00D83E,DLC1DawnguardArmorHelmet,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:00D83F,DLC1DawnguardArmorShield,equipment classification,extracted
Dawnguard.esm,Dawnguard.esm:00D839,DLC1DawnguardItem,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0145CC,DLC1DurnehviirKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:007D8F,DLC1HarkonFloorCenter,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:01932A,DLC1isVampireCoffinHorizontal,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00B64D,DLC1isVampireCoffinVertical,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:005756,DLC1LD_CraftingForgeAetherium,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00E299,DLC1LD_CraftingMaterialAetherium,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00A2B4,DLC1LD_Ghost,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:010E97,DLC1LD_ImmuneToAetherialShield,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:002981,DLC1LD_LavaImagespaceKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:015336,DLC1LD_LavaKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:015335,DLC1LD_LavaLingeringKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:015334,DLC1LD_SteamKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:015333,DLC1LD_SteamLingeringKeyword,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00F37F,DLC1LDAetherialSummon,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00CD59,DLC1LegendaryDragon,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033C1,DLC1LinkEatBreakfast1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033C2,DLC1LinkEatBreakfast2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:010F57,DLC1LinkEatBreakfastNight1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:010F58,DLC1LinkEatBreakfastNight2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033C5,DLC1LinkEatDinner1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033C6,DLC1LinkEatDinner2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:010F59,DLC1LinkEatDinnerNight1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:010F5A,DLC1LinkEatDinnerNight2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033C3,DLC1LinkEatLunch1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033C4,DLC1LinkEatLunch2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:010F5B,DLC1LinkEatLunchNight1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:010F5C,DLC1LinkEatLunchNight2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:00CD55,DLC1LinkFeedTableThrall247,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:01685A,DLC1LinkFerrySeat1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:01685B,DLC1LinkFerrySeat2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033CB,DLC1LinkGuard,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033CA,DLC1LinkKeepEyeOn,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033C0,DLC1LinkSandbox,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033C7,DLC1LinkServices,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033BD,DLC1LinkSleepDay1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033BE,DLC1LinkSleepDay2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033BF,DLC1LinkSleepDay3,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033BA,DLC1LinkSleepNight1,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033BB,DLC1LinkSleepNight2,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:0033BC,DLC1LinkSleepNight3,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:013F6B,DLC1LinkUseWeaponMelee,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:013F70,DLC1LinkUseWeaponRanged,general keyword,extracted
Dawnguard.esm,Dawnguard.esm:013F6E,DLC1LinkUseWeaponTarget,general keyword,extracted
