plugin,record_type,formid,editor_id,modding_use,detail_status,validation
Dawnguard.esm,LVLI,Skyrim.esm:03AD82,DeathItemDwarvenSphere,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:01A17F,DLC01DeathItemKeeperBow,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:0074C6,DLC01DeathItemKeeperShield,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:01A186,DLC01DeathItemKeeperSword,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00689B,DLC01SoulCairnHuskList70,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:006899,DLC01SoulCairnHuskRandomChance,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00A945,DLC01SoulLeveledList,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:0034FE,DLC1_WESC_DawnguardCache_LItemPotionRestoreHealth75,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:0181A6,DLC1_WESC_DawnguardCacheGold,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:0181A5,DLC1_WESC_DawnguardCacheItem,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:0126B4,DLC1DawnGuardHelmet75,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00A947,DLC1DeathItemBoneman,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00D6F8,DLC1DeathItemChaurusHunter,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00D6F7,DLC1DeathItemDeathHound,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:013E25,DLC1DeathItemDeerVale,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:010963,DLC1DeathItemDragon06,encounter/distribution signal candidate,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:010964,DLC1DeathItemDragon07,encounter/distribution signal candidate,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:014750,DLC1DeathItemFrostGiant,encounter/distribution signal candidate,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:01913E,DLC1DeathItemGargoyle,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:011D69,DLC1DeathItemHarkon,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00A946,DLC1DeathItemMistman,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:013E24,DLC1DeathItemSabrecatVale,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:011BDA,DLC1DeathItemSoulMan,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:0128A2,DLC1DeathItemWerewolf,encounter/distribution signal candidate,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00A948,DLC1DeathItemWrathman,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00E8DA,DLC1FalmerShamanWeapon,encounter/distribution signal candidate,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:004D3A,DLC1LD_DeathItemForgemaster,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00F1AC,DLC1LItemAmmoDwarvenBoltExplodingFireGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00F1BF,DLC1LItemAmmoDwarvenBoltExplodingIceGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00F1C0,DLC1LItemAmmoDwarvenBoltExplodingShockGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:014CF6,DLC1LItemAmmoDwarvenBoltGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00F1AD,DLC1LItemAmmoDwarvenBoltsEnhancedGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00F1AE,DLC1LItemAmmoSteelBoltEnhancedGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00F1AB,DLC1LItemAmmoSteelBoltExplodingFireGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00F1C2,DLC1LItemAmmoSteelBoltExplodingIceGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00F1C3,DLC1LItemAmmoSteelBoltExplodingShockGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:010960,DLC1LItemDaedricArrmor,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:010961,DLC1LItemDaedricWeapon,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:014219,DLC1LItemDawnguardBoots,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:01421A,DLC1LItemDawnguardCuirass,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:01421B,DLC1LItemDawnguardGauntlets,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:011F3A,DLC1LItemDisguisedHunterInventory,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:011F3B,DLC1LItemDisguisedVampireInventory,encounter/distribution signal candidate,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00D0EA,DLC1LItemEnchCrossbow,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00D0EB,DLC1LItemEnchDawnguardCrossbowLoot75Gated,loot/reward distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:00D0E4,DLC1LitemEnchDwarvenCrossbowGated,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
Dawnguard.esm,LVLI,Dawnguard.esm:011D6A,DLC1LItemEnchJewelryAllHarkon,leveled item distribution reference,scan-only; use detailed candidate table or local xEdit/CK inspection for entries,candidate-scan
