plugin,record_type,formid,editor_id,flags,entry_count,entries,modding_use,validation
Dawnguard.esm,LVLI,Dawnguard.esm:010963,DLC1DeathItemDragon06,UseAll,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:010964,DLC1DeathItemDragon07,UseAll,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:014750,DLC1DeathItemFrostGiant,UseAll,11,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:0128A2,DLC1DeathItemWerewolf,UseAll,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:00E8DA,DLC1FalmerShamanWeapon,0,6,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:011F3B,DLC1LItemDisguisedVampireInventory,UseAll,2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:00D0EB,DLC1LItemEnchDawnguardCrossbowLoot75Gated,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",4,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:015CB7,DLC1LItemFalmerBootsHeavy25,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:015CB6,DLC1LItemFalmerCuriassHeavy75,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:015CB8,DLC1LItemFalmerGauntletsHeavy25,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
