plugin,formid,editor_id,name,archetype,actor_value,magic_skill,resist_value,cast_type,target_type,flags,modding_read,validation
Dawnguard.esm,Dawnguard.esm:002ADC,AbDLC1SoulWispScriptAttach,,ValueModifier,ResistMagic,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:002995,AbFXChaurusFlyer,,Script,None,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Skyrim.esm:04EFC6,AbFXDwarvenSpider,,Script,None,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:013B7B,AbFXSprigganEarthMother,,Script,None,None,None,ConstantEffect,Self,"Recover, NoDuration, NoArea, FXPersist, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00FC75,crdunHarkonVampireAbsorbHealthConcAimed,,Absorb,Health,None,ResistMagic,Concentration,Aimed,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",curse/disease overlay,extracted
Dawnguard.esm,Skyrim.esm:08D5C5,crVampireAbsorbHealthConcAimed,,Absorb,Health,None,ResistMagic,Concentration,Aimed,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:008B31,crVampireAbsorbHealthConcAimedCOPY0000,,Absorb,Health,None,ResistMagic,Concentration,Aimed,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",curse/disease overlay,extracted
Dawnguard.esm,Skyrim.esm:0B8778,DisDamageHealthVampire,,PeakValueModifier,Health,Restoration,None,ConstantEffect,Touch,"Recover, Detrimental, NoDuration, NoArea, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:007CB5,DLC01_SoulTearDamageFFAimed,,ValueModifier,Health,None,None,FireAndForget,Aimed,"Hostile, Detrimental, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:007CB4,DLC01_SoulTearReanimateFFAimed,,Reanimate,None,None,None,FireAndForget,TargetActor,"Recover, FXPersist, HideInUI, PowerAffectsDuration",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:007CB3,DLC01_SoulTearTrapFFActor,,Script,None,Conjuration,None,FireAndForget,Aimed,"Hostile, Recover, NoMagnitude, NoArea, FXPersist, HideInUI, PowerAffectsDuration",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:016874,DLC01_SoulTearWaitForDeathFX,,ValueModifier,Health,None,None,FireAndForget,Aimed,"FXPersist, HideInUI, PowerAffectsMagnitude, Painless, NoDeathDispel",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00939E,DLC01AbSoul,,Script,None,None,None,ConstantEffect,Self,"NoDuration, FXPersist",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:0071E0,DLC01EnchAurielsBow,,ValueModifier,Health,Destruction,None,FireAndForget,Touch,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00C601,DLC01SummonSoulHorseEffect,,SummonCreature,None,Conjuration,None,FireAndForget,TargetLocation,"SnapToNavmesh, NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, NoHitEffect",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:0126B5,DLC1AbBatsCloak,,Cloak,None,None,ResistMagic,ConstantEffect,Self,"Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00C5F1,DLC1AbDeathHoundCloakFrost,,Cloak,None,None,ResistFrost,ConstantEffect,Self,"Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00D0B1,DLC1AbDeerGlowScriptAttach,,ValueModifier,ResistMagic,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:0110D0,DLC1AbFortifyMagicka,,PeakValueModifier,Magicka,None,None,ConstantEffect,Self,"Recover, NoArea, HideInUI, PowerAffectsMagnitude",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:00F647,DLC1AbFXForgemasteCenturion,,Script,None,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00459A,DLC1AbFXMothpriestThrallEffect1,,Script,None,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00459C,DLC1AbFXMothpriestThrallEffect2,,Script,None,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00488C,DLC1AbFXReflectingShield,,Script,None,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00513B,DLC1AbGargoyleBruteGreenFXHolder,,Script,None,None,None,ConstantEffect,Self,"NoDuration, FXPersist, HideInUI, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:005133,DLC1AbGargoyleBruteMeleeFXHolder,,Script,None,None,None,ConstantEffect,Self,"NoDuration, FXPersist, HideInUI, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00D0B5,DLC1AbSabreCatGlowScriptAttach,,ValueModifier,ResistMagic,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:011A1B,DLC1AbsorbHealthFFContact,,Absorb,Health,None,ResistMagic,FireAndForget,Touch,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:013812,DLC1AlchRestoreHealthBlood,,ValueModifier,Health,None,None,FireAndForget,Self,"NoDuration, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:006785,DLC1AurielsAbsorbHealthFFContact,,Absorb,Health,None,ResistMagic,FireAndForget,Touch,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00AEB5,DLC1AurielsBowBeamEffect,,ValueModifier,Health,None,None,FireAndForget,Aimed,"Hostile, Detrimental, DispelWithKeywords, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:006784,DLC1AurielsBowBeamEffectUndead,,ValueModifier,Health,None,None,FireAndForget,Aimed,"Hostile, Detrimental, DispelWithKeywords, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00C60E,DLC1AurielsBowBlessedAreaEffect,,Script,None,None,None,FireAndForget,Self,"Detrimental, HideInUI, PowerAffectsMagnitude",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00CE10,DLC1AurielsBowBlessedPlayerSelfEffect,,Script,None,None,None,FireAndForget,Self,"Detrimental, NoArea, HideInUI, PowerAffectsMagnitude",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:018C5A,DLC1AurielsBowEclipseSelfEffect,,Script,None,None,None,ConstantEffect,Self,"NoArea, HideInUI, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:007EBB,DLC1AurielsBowScriptEffect,,Script,None,None,None,ConstantEffect,Self,"NoMagnitude, HideInUI",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00D663,DLC1AurielShrineCastEffect,,Script,None,Alteration,None,FireAndForget,Self,FXPersist,vanilla blessing/effect palette,extracted
Dawnguard.esm,Dawnguard.esm:0126B6,DLC1BatsAbsorbConcAimed,,Absorb,Health,None,ResistMagic,Concentration,Aimed,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:0119AF,DLC1BatsControlEffect,,Script,None,None,None,ConstantEffect,Self,0,magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:01571A,DLC1BatsEffect,,Script,None,None,None,FireAndForget,Self,"FXPersist, NoRecast",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:019C9C,DLC1BatsInvisEffect,,Invisibility,Invisibility,None,None,FireAndForget,Self,"Recover, FXPersist",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:018EF4,DLC1BloodPotionEffect,,Script,None,None,None,FireAndForget,Self,0,magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:002B56,DLC1crChaurusHunterAmbushFXEffect,,Script,None,None,None,FireAndForget,Self,"NoMagnitude, NoArea, FXPersist, NoRecast, PowerAffectsDuration, NoDeathDispel",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:011004,DLC1crChaurusHunterSpitFFAimed,,ValueModifier,Health,None,PoisonResist,FireAndForget,Aimed,"Hostile, Detrimental, NoDuration, NoArea, FXPersist, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:008B33,DLC1CrystalAbsorbHealthConcAimed,,Absorb,Health,None,None,Concentration,Aimed,"Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:0154AC,DLC1CrystalAbsorbHealthConcAimedVisualFX,,Script,None,None,None,Concentration,Aimed,"Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:015774,DLC1CrystalDamageHealRateConcAimed,,PeakValueModifier,HealRate,None,None,Concentration,Aimed,"Recover, Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude, NoDeathDispel",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:00BF7D,DLC1CrystalSlowConcAimed,,PeakValueModifier,SpeedMult,None,None,Concentration,Aimed,"Recover, Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:008B30,DLC1CrystalSoulDrainEffect,,Cloak,None,None,None,ConstantEffect,Self,"NoDuration, NoArea, FXPersist, NoRecast, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:016696,DLC1DawnguardRuneAxeDamageEffect,,ValueModifier,Health,Destruction,None,FireAndForget,Touch,"Hostile, Detrimental, NoDuration, FXPersist, NoRecast, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:016695,DLC1DawnguardRuneAxeIncrementKills,,Script,None,None,None,FireAndForget,Touch,"Hostile, Detrimental, NoArea, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:011BB1,DLC1DawnguardRuneShieldAbility,,Cloak,None,None,None,ConstantEffect,Self,"NoDuration, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:006924,DLC1DawnguardRuneVisualsEffect,,Script,None,None,None,FireAndForget,Touch,"Hostile, Detrimental, NoArea, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:0028ED,DLC1DeathHoundFX,,Script,None,None,None,ConstantEffect,Self,"Recover, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:014CE7,DLC1DetectLifeScriptEffect,,Script,None,None,None,FireAndForget,Self,"Recover, NoHitEvent, NoMagnitude, FXPersist, NoRecast, Painless",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:008449,DLC1DragonDrainVitalityHealthEffect,,ValueModifier,Health,None,None,FireAndForget,Aimed,"Hostile, Detrimental, FXPersist",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:008448,DLC1DragonDrainVitalityMagickaEffect,,ValueModifier,Magicka,None,None,FireAndForget,Aimed,"Hostile, Detrimental, FXPersist",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00844A,DLC1DragonDrainVitalityStaminaEffect,,ValueModifier,Stamina,None,None,FireAndForget,Aimed,"Hostile, Detrimental, FXPersist, NoRecast",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00F4DF,DLC1dunHarkonBattleReanimateFX,,Script,None,Conjuration,None,FireAndForget,TargetActor,"Recover, FXPersist, PowerAffectsDuration",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00E65E,DLC1dunHarkonConjurationDelayEffect,,Script,None,None,None,FireAndForget,TargetLocation,"NoDuration, NoMagnitude, NoArea",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00D22C,DLC1dunHarkonDrainCloakEffect,,Cloak,None,None,None,ConstantEffect,Self,"NoDuration, NoArea, FXPersist, NoRecast, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:010CF8,DLC1dunHarkonEjectPlayerEffect,,Stagger,None,Destruction,None,FireAndForget,TargetActor,0,magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00D1C7,DLC1dunHarkonFontAbsorbHealth,,Absorb,Health,None,None,Concentration,TargetActor,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00D1C9,DLC1dunHarkonFontAbsorbMagicka,,Absorb,Magicka,None,None,Concentration,TargetActor,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00D1CD,DLC1dunHarkonFontAbsorbStamina,,Absorb,Stamina,None,None,Concentration,TargetActor,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00D1C5,DLC1dunHarkonInvulnerabilityEffect,,Script,None,None,None,Concentration,Self,1073745922,magic effect palette,extracted
