plugin,formid,editor_id,name,race,template,factions,keywords,ai_aggression,ai_assistance,modding_use,validation
Dawnguard.esm,Dawnguard.esm:011CD2,AudioTemplateVampireLord,,FoxRace (Skyrim.esm:109C7C),,,,Unaggressive,HelpsNobody,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0150B3,DLC01SoulCairnSoulNecromancerFemale,,HighElfRace (Skyrim.esm:013743),LvlWarlockNecromancerFemaleHighElf (Skyrim.esm:0713DD),SoulCairnSoulFaction (Dawnguard.esm:0150B0):rank0,ActorTypeGhost (Skyrim.esm:0D205E); ActorTypeUndead (Skyrim.esm:013796); ImmuneParalysis (Skyrim.esm:0F23C5),Unaggressive,HelpsNobody,hostile actor classification,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0150B2,DLC01SoulCairnSoulNecromancerMale,,DarkElfRace (Skyrim.esm:013742),LvlWarlockNecromancerMaleDarkElf (Skyrim.esm:0235FD),SoulCairnSoulFaction (Dawnguard.esm:0150B0):rank0,ActorTypeGhost (Skyrim.esm:0D205E); ActorTypeUndead (Skyrim.esm:013796); ImmuneParalysis (Skyrim.esm:0F23C5),Unaggressive,HelpsNobody,hostile actor classification,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0150B6,DLC01SoulCairnSoulOrcMale,,OrcRace (Skyrim.esm:013747),LvlBanditMeleeOrcM (Skyrim.esm:01B0EF),SoulCairnSpecialFaction (Dawnguard.esm:01603E):rank0,ActorTypeGhost (Skyrim.esm:0D205E); ActorTypeUndead (Skyrim.esm:013796); ImmuneParalysis (Skyrim.esm:0F23C5),Unaggressive,HelpsNobody,Orc community actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013805,DLC1_WESC_DawnguardNoCrime,,FoxRace (Skyrim.esm:109C7C),LCharDawnguardMelee1H (Dawnguard.esm:014281),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0034E0,DLC1_WESC_LvlVigilantOfStendarrNoCrime,,FoxRace (Skyrim.esm:109C7C),LvlVigilantOfStendarr (Skyrim.esm:0B3291),,,Unaggressive,HelpsNobody,Vigilant/Stendarr actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0034E6,DLC1_WESC_LvlVigilantOfStendarrNoCrimeFemaleEvenToned01,,FoxRace (Skyrim.esm:109C7C),LvlVigilantOfStendarrFemaleEvenToned (Skyrim.esm:0B3298),,,Unaggressive,HelpsNobody,Vigilant/Stendarr actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0034DF,DLC1_WESC01_LvlVampireFleeing,,FoxRace (Skyrim.esm:109C7C),LvlVampire (Skyrim.esm:02F9E1),,,VeryAggressive,HelpsNobody,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0034EB,DLC1_WESC02_StrippedVigilants,,FoxRace (Skyrim.esm:109C7C),LvlVigilantOfStendarr (Skyrim.esm:0B3291),,,Unaggressive,HelpsNobody,Vigilant/Stendarr actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0034EC,DLC1_WESC02_VigilantVampire,,FoxRace (Skyrim.esm:109C7C),LvlVampire (Skyrim.esm:02F9E1),,,Unaggressive,HelpsNobody,Vigilant/Stendarr actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0034EE,DLC1_WESC02_VigilantVampireLeader,,DarkElfRaceVampire (Skyrim.esm:08883D),LvlVampire (Skyrim.esm:02F9E1),,,Unaggressive,HelpsNobody,Vigilant/Stendarr actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0034D5,DLC1_WESC04_VampireAssassin,,FoxRace (Skyrim.esm:109C7C),LvlVampire (Skyrim.esm:02F9E1),,,Unaggressive,HelpsNobody,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01993C,DLC1_WESC05_DawnguardHunter,,ImperialRace (Skyrim.esm:013744),LCharDawnguardMelee1H (Dawnguard.esm:014281),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003512,DLC1_WESC06_LvlDawnguardFleeing,,NordRace (Skyrim.esm:013746),DLC1LvlDawnguardMelee1H (Dawnguard.esm:014282),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Aggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01993E,DLC1_WESC08_LvlDawnguardSlain,,NordRace (Skyrim.esm:013746),LCharDawnguardMelee1H (Dawnguard.esm:014281),,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00351F,DLC1_WESC08_LvlVampireNoLoot,,FoxRace (Skyrim.esm:109C7C),LvlVampire (Skyrim.esm:02F9E1),,,VeryAggressive,HelpsNobody,curse/hostile actor,candidate-extracted
