keyword,record_count,examples,validation
ActorTypeAnimal (Skyrim.esm:013798),56,RACE:FoxRace (Skyrim.esm); RACE:C06WolfSpiritRace (Skyrim.esm); RACE:WhiteStagRace (Skyrim.esm); RACE:MG07DogRace (Skyrim.esm); RACE:DogCompanionRace (Skyrim.esm); RACE:CartHorseRace (Skyrim.esm); RACE:DA03BarbasDogRace (Skyrim.esm); RACE:ChickenRace (Skyrim.esm); RACE:HareRace (Skyrim.esm); RACE:DeerRace (Skyrim.esm); RACE:SkeeverWhiteRace (Skyrim.esm); RACE:MudcrabRace (Skyrim.esm); RACE:ChaurusReaperRace (Skyrim.esm); RACE:GoatDomesticsRace (Skyrim.esm); RACE:FrostbiteSpiderRaceLarge (Skyrim.esm); RACE:CowRace (Skyrim.esm); RACE:FrostbiteSpiderRaceGiant (Skyrim.esm); RACE:WolfRace (Skyrim.esm); RACE:TrollFrostRace (Skyrim.esm); RACE:TrollRace (Skyrim.esm); RACE:SlaughterfishRace (Skyrim.esm); RACE:SabreCatSnowyRace (Skyrim.esm); RACE:SkeeverRace (Skyrim.esm); RACE:SabreCatRace (Skyrim.esm); RACE:MammothRace (Skyrim.esm); RACE:HorseRace (Skyrim.esm); RACE:HorkerRace (Skyrim.esm); RACE:GoatRace (Skyrim.esm); RACE:FrostbiteSpiderRace (Skyrim.esm); RACE:DogRace (Skyrim.esm); RACE:ElkRace (Skyrim.esm); RACE:ChaurusRace (Skyrim.esm); RACE:BearSnowRace (Skyrim.esm); RACE:BearBlackRace (Skyrim.esm); RACE:BearBrownRace (Skyrim.esm); RACE:CartHorseRace (Update.esm); RACE:HorseRace (Update.esm); RACE:ccBGSSSE036_BoneWolfCompanionRace (Update.esm); RACE:ccBGSSSE035_NixHoundCompanionRace (Update.esm); RACE:DLC1HuskyBareCompanionRace (Dawnguard.esm),extracted-from-current-detail-pass
ActorTypeCreature (Skyrim.esm:013795),120,RACE:FoxRace (Skyrim.esm); RACE:C06WolfSpiritRace (Skyrim.esm); RACE:UndeadDragonRace (Skyrim.esm); RACE:WhiteStagRace (Skyrim.esm); RACE:MG07DogRace (Skyrim.esm); RACE:DraugrMagicRace (Skyrim.esm); RACE:SprigganMatronRace (Skyrim.esm); RACE:SkeletonNecroPriestRace (Skyrim.esm); RACE:SkeletonNecroRace (Skyrim.esm); RACE:DogCompanionRace (Skyrim.esm); RACE:WispShadeRace (Skyrim.esm); RACE:CartHorseRace (Skyrim.esm); RACE:DA03BarbasDogRace (Skyrim.esm); RACE:MagicAnomalyRace (Skyrim.esm); RACE:ChickenRace (Skyrim.esm); RACE:HareRace (Skyrim.esm); RACE:AlduinRace (Skyrim.esm); RACE:DeerRace (Skyrim.esm); RACE:WerewolfBeastRace (Skyrim.esm); RACE:C00GiantOutsideWhiterunRace (Skyrim.esm); RACE:SkeeverWhiteRace (Skyrim.esm); RACE:RigidSkeletonRace (Skyrim.esm); RACE:MudcrabRace (Skyrim.esm); RACE:SkeletonRace (Skyrim.esm); RACE:ChaurusReaperRace (Skyrim.esm); RACE:SprigganSwarmRace (Skyrim.esm); RACE:SwarmRace (Skyrim.esm); RACE:GoatDomesticsRace (Skyrim.esm); RACE:FrostbiteSpiderRaceLarge (Skyrim.esm); RACE:CowRace (Skyrim.esm); RACE:FrostbiteSpiderRaceGiant (Skyrim.esm); RACE:WolfRace (Skyrim.esm); RACE:WitchlightRace (Skyrim.esm); RACE:WispRace (Skyrim.esm); RACE:TrollFrostRace (Skyrim.esm); RACE:TrollRace (Skyrim.esm); RACE:SprigganRace (Skyrim.esm); RACE:SlaughterfishRace (Skyrim.esm); RACE:SabreCatSnowyRace (Skyrim.esm); RACE:SkeeverRace (Skyrim.esm),extracted-from-current-detail-pass
ActorTypeDaedra (Skyrim.esm:013797),8,RACE:AtronachStormRace (Skyrim.esm); RACE:AtronachFrostRace (Skyrim.esm); RACE:AtronachFlameRace (Skyrim.esm); RACE:DremoraRace (Skyrim.esm); RACE:DLC2DremoraRace (Dragonborn.esm); RACE:dlc2AshGuardianRace (Dragonborn.esm); RACE:dlc2SpectralDragonRace (Dragonborn.esm); RACE:DLC2SeekerRace (Dragonborn.esm),extracted-from-current-detail-pass
ActorTypeDragon (Skyrim.esm:035D59),11,RACE:UndeadDragonRace (Skyrim.esm); RACE:AlduinRace (Skyrim.esm); RACE:DragonRace (Skyrim.esm); RACE:UndeadDragonRace (Update.esm); RACE:DragonRace (Update.esm); RACE:DLC1UndeadDragonRace (Dawnguard.esm); RACE:DLC2DragonBlackRace (Dragonborn.esm); RACE:DragonBlackRace (Dragonborn.esm); RACE:UndeadDragonRace (Dragonborn.esm); RACE:AlduinRace (Dragonborn.esm); RACE:DragonRace (Dragonborn.esm),extracted-from-current-detail-pass
ActorTypeDwarven (Skyrim.esm:01397A),6,RACE:DwarvenSpiderRace (Skyrim.esm); RACE:DwarvenSphereRace (Skyrim.esm); RACE:DwarvenCenturionRace (Skyrim.esm); RACE:DLC1LD_ForgemasterRace (Dawnguard.esm); RACE:DLC2DwarvenBallistaRace (Dragonborn.esm); RACE:DLC2AshSpawnRace (Dragonborn.esm),extracted-from-current-detail-pass
ActorTypeGhost (Skyrim.esm:0D205E),50,NPC_:LvlBanditGhostWizardFemale (Skyrim.esm); NPC_:LvlBanditGhostMissileFemale (Skyrim.esm); NPC_:LvlBanditGhostMeleeTankFemale (Skyrim.esm); NPC_:LvlBanditGhostMeleeBerserkerFemale (Skyrim.esm); NPC_:LvlBanditGhostMelee2HFemale (Skyrim.esm); NPC_:LvlBanditGhostMelee1HFemale (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMissileAmbushHoldPos256 (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostWizardAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMissileAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMeleeTankAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMeleeBerserkerAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMelee1HAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMeleeBerserker (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostWizard (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMissile (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMeleeTank (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMelee1H (Skyrim.esm); NPC_:LvlBanditGhostWizardMale (Skyrim.esm); NPC_:LvlBanditGhostMissileMale (Skyrim.esm); NPC_:LvlBanditGhostMeleeTankMale (Skyrim.esm); NPC_:LvlBanditGhostMeleeBerserkerMale (Skyrim.esm); NPC_:LvlBanditGhostMelee2HMale (Skyrim.esm); NPC_:LvlBanditGhostMelee1HMale (Skyrim.esm); NPC_:DLC01SoulCairnSoulNecromancerMale (Dawnguard.esm); NPC_:DLC01SoulCairnSoulNecromancerFemale (Dawnguard.esm); NPC_:DLC01SoulCairnSoulOrcMale (Dawnguard.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee1HFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee1HMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee2HFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee2HMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeBerserkerFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeBerserkerMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeTankMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeMissileFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeMissileMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostWizardFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostWizardMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeTankFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee1HFemale_Weak (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee1HMale_Weak (Dragonborn.esm),extracted-from-current-detail-pass
ActorTypeHorse (Skyrim.esm:026110),3,NPC_:CaravanCHorse (Skyrim.esm); NPC_:CaravanBHorse (Skyrim.esm); NPC_:CaravanAHorse (Skyrim.esm),extracted-from-current-detail-pass
ActorTypeNPC (Skyrim.esm:013794),232,NPC_:EncForsworn06Melee1HBretonBerserk (Skyrim.esm); NPC_:EncForsworn05Melee1HBretonBerserk (Skyrim.esm); NPC_:EncForsworn04Melee1HBretonBerserk (Skyrim.esm); NPC_:EncForsworn03Melee1HBretonBerserk (Skyrim.esm); NPC_:EncForsworn02Melee1HBretonBerserk (Skyrim.esm); NPC_:EncForsworn01Melee1HBretonBerserk (Skyrim.esm); NPC_:EncForsworn06MissileBretonM04 (Skyrim.esm); NPC_:EncForsworn06Melee1HBretonM04 (Skyrim.esm); NPC_:EncForsworn06BossMagicBretonM03 (Skyrim.esm); NPC_:EncForsworn05MissileBretonM04 (Skyrim.esm); NPC_:EncForsworn05Melee1HBretonM04 (Skyrim.esm); NPC_:EncForsworn04MissileBretonM04 (Skyrim.esm); NPC_:EncForsworn04Melee1HBretonM04 (Skyrim.esm); NPC_:EncForsworn04BossMagicBretonM03 (Skyrim.esm); NPC_:EncForsworn02BossMagicBretonM03 (Skyrim.esm); NPC_:EncForsworn03BossMagicBretonM03 (Skyrim.esm); NPC_:EncForsworn03MissileBretonM04 (Skyrim.esm); NPC_:EncForsworn03Melee1HBretonM04 (Skyrim.esm); NPC_:EncForsworn02MissileBretonM04 (Skyrim.esm); NPC_:EncForsworn02Melee1HBretonM04 (Skyrim.esm); NPC_:EncForsworn01MissileBretonM04 (Skyrim.esm); NPC_:EncForsworn01Melee1HBretonM04 (Skyrim.esm); NPC_:EncForsworn06TemplateBossMelee (Skyrim.esm); NPC_:EncForsworn06TemplateBossMagic (Skyrim.esm); NPC_:EncForsworn05TemplateBossMelee (Skyrim.esm); NPC_:EncForsworn05TemplateBossMagic (Skyrim.esm); NPC_:EncForsworn04TemplateBossMelee (Skyrim.esm); NPC_:EncForsworn04TemplateBossMagic (Skyrim.esm); NPC_:EncForsworn03TemplateBossMelee (Skyrim.esm); NPC_:EncForsworn03TemplateBossMagic (Skyrim.esm); NPC_:EncForsworn02TemplateBossMelee (Skyrim.esm); NPC_:EncForsworn02TemplateBossMagic (Skyrim.esm); NPC_:EncForsworn06BossMelee1HBretonM03 (Skyrim.esm); NPC_:EncForsworn06BossMelee1HBretonM02 (Skyrim.esm); NPC_:EncForsworn06BossMelee1HBretonM01 (Skyrim.esm); NPC_:EncForsworn06BossMagicBretonM02 (Skyrim.esm); NPC_:EncForsworn06BossMagicBretonM01 (Skyrim.esm); NPC_:EncForsworn05BossMelee1HBretonM03 (Skyrim.esm); NPC_:EncForsworn05BossMelee1HBretonM02 (Skyrim.esm); NPC_:EncForsworn05BossMelee1HBretonM01 (Skyrim.esm),extracted-from-current-detail-pass
ActorTypeTroll (Skyrim.esm:0F5D16),4,RACE:TrollFrostRace (Skyrim.esm); RACE:TrollRace (Skyrim.esm); RACE:DLC1TrollRaceArmored (Dawnguard.esm); RACE:DLC1TrollFrostRaceArmored (Dawnguard.esm),extracted-from-current-detail-pass
ActorTypeUndead (Skyrim.esm:013796),106,NPC_:LvlBanditGhostWizardFemale (Skyrim.esm); NPC_:LvlBanditGhostMissileFemale (Skyrim.esm); NPC_:LvlBanditGhostMeleeTankFemale (Skyrim.esm); NPC_:LvlBanditGhostMeleeBerserkerFemale (Skyrim.esm); NPC_:LvlBanditGhostMelee2HFemale (Skyrim.esm); NPC_:LvlBanditGhostMelee1HFemale (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMissileAmbushHoldPos256 (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostWizardAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMissileAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMeleeTankAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMeleeBerserkerAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMelee1HAmbush (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMeleeBerserker (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostWizard (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMissile (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMeleeTank (Skyrim.esm); NPC_:dunHalldirs_LvlBanditGhostMelee1H (Skyrim.esm); NPC_:LvlBanditGhostWizardMale (Skyrim.esm); NPC_:LvlBanditGhostMissileMale (Skyrim.esm); NPC_:LvlBanditGhostMeleeTankMale (Skyrim.esm); NPC_:LvlBanditGhostMeleeBerserkerMale (Skyrim.esm); NPC_:LvlBanditGhostMelee2HMale (Skyrim.esm); NPC_:LvlBanditGhostMelee1HMale (Skyrim.esm); NPC_:MS14LaeletteVampire (Skyrim.esm); NPC_:MS14LaeletteVampire (Dawnguard.esm); NPC_:DLC1EncVampireTemplateMagic (Dawnguard.esm); NPC_:DLC1EncVampireTemplate (Dawnguard.esm); NPC_:DLC01SoulCairnSoulNecromancerMale (Dawnguard.esm); NPC_:DLC01SoulCairnSoulNecromancerFemale (Dawnguard.esm); NPC_:DLC01SoulCairnSoulOrcMale (Dawnguard.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee1HFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee1HMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee2HFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMelee2HMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeBerserkerFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeBerserkerMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeTankMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeMissileFemale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostMeleeMissileMale (Dragonborn.esm); NPC_:DLC2dunHaknir_LvlBanditGhostWizardFemale (Dragonborn.esm),extracted-from-current-detail-pass
