plugin,formid,editor_id,name,spell_type,cast_type,target_type,effects,modding_use,validation
Dawnguard.esm,Skyrim.esm:02E1C3,AbVampire01,,Ability,ConstantEffect,Self,AbResistFrost (Skyrim.esm:024315)|mag=20|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:10F1EB,AbVampire01b,,Ability,ConstantEffect,Self,AbWeaknessFireConstant (Skyrim.esm:02431E)|mag=20|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0ED099,AbVampire02,,Ability,ConstantEffect,Self,AbResistFrost (Skyrim.esm:024315)|mag=30|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:10F1EA,AbVampire02b,,Ability,ConstantEffect,Self,AbWeaknessFireConstant (Skyrim.esm:02431E)|mag=30|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0ED09D,AbVampire03,,Ability,ConstantEffect,Self,AbResistFrost (Skyrim.esm:024315)|mag=40|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:10F1E9,AbVampire03b,,Ability,ConstantEffect,Self,AbWeaknessFireConstant (Skyrim.esm:02431E)|mag=40|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0ED09E,AbVampire04,,Ability,ConstantEffect,Self,AbResistFrost (Skyrim.esm:024315)|mag=50|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:10F1E8,AbVampire04b,,Ability,ConstantEffect,Self,AbWeaknessFireConstant (Skyrim.esm:02431E)|mag=50|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0A1A3E,AbWerewolf,,Ability,ConstantEffect,Self,AbResistDisease (Skyrim.esm:0E40D3)|mag=100|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=100|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=50|area=0|dur=0; AbDamageHealRate (Skyrim.esm:0C1E8C)|mag=100|area=0|dur=0; AbFortifyCarryWeight (Skyrim.esm:10CED9)|mag=2000|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=100|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=100|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:107AA1,CrVampireDrain00,,Spell,Concentration,Aimed,crVampireAbsorbHealthConcAimed (Skyrim.esm:08D5C5)|mag=3|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0F5B58,CrVampireDrain01,,Spell,Concentration,Aimed,crVampireAbsorbHealthConcAimed (Skyrim.esm:08D5C5)|mag=5|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0F5B59,crVampireDrain02,,Spell,Concentration,Aimed,crVampireAbsorbHealthConcAimed (Skyrim.esm:08D5C5)|mag=8|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0F5B5A,crVampireDrain03,,Spell,Concentration,Aimed,crVampireAbsorbHealthConcAimed (Skyrim.esm:08D5C5)|mag=10|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=10|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0F5B5B,crVampireDrain04,,Spell,Concentration,Aimed,crVampireAbsorbHealthConcAimed (Skyrim.esm:08D5C5)|mag=12|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=12|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:08D5C3,crVampireDrain05,,Spell,Concentration,Aimed,crVampireAbsorbHealthConcAimed (Skyrim.esm:08D5C5)|mag=13|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=13|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=13|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:08D5C7,crVampireDrain06,,Spell,Concentration,Aimed,crVampireAbsorbHealthConcAimed (Skyrim.esm:08D5C5)|mag=14|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=14|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=14|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Skyrim.esm:0F5B5D,crVampireSunDamage,,Ability,ConstantEffect,Self,AbDamageStaminaRate (Skyrim.esm:0C1E8D)|mag=100|area=0|dur=0; AbDamageHealRate (Skyrim.esm:0C1E8C)|mag=100|area=0|dur=0; AbDamageMagickaRate (Skyrim.esm:0A1A45)|mag=100|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007EBC,DLC1AbAurielsBow,,Ability,ConstantEffect,Self,DLC1AurielsBowScriptEffect (Dawnguard.esm:007EBB)|mag=0|area=0|dur=0,spell signal/effect candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:015FC7,DLC1AbVampireFloatBodyFX,,Ability,ConstantEffect,Self,DLC1VampireFloatFXHolder (Dawnguard.esm:015FC6)|mag=100|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003577,DLC1AbVampireLord,,Ability,ConstantEffect,Self,AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbWeaknessFireConstant (Skyrim.esm:02431E)|mag=25|area=0|dur=0; AbResistFrost (Skyrim.esm:024315)|mag=25|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011360,DLC1AltarAurielSpell,,Spell,FireAndForget,Self,DLC1FortifyMarksmanFFSelf (Dawnguard.esm:011362)|mag=10|area=0|dur=43200; CureDiseaseEffect (Skyrim.esm:0FBFF5)|mag=25|area=0|dur=0,spell signal/effect candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F82F,DLC1AurielsBowEclipseSpell,,Spell,ConstantEffect,Self,DLC1AurielsBowEclipseSelfEffect (Dawnguard.esm:018C5A)|mag=0|area=0|dur=46800,spell signal/effect candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00AEB6,DLC1AurielsBowSkyBoltSpell,,Spell,FireAndForget,Aimed,DLC1AurielsBowBeamEffect (Dawnguard.esm:00AEB5)|mag=15|area=10|dur=3; DLC1AurielsBowBeamEffectUndead (Dawnguard.esm:006784)|mag=30|area=15|dur=3,spell signal/effect candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00C60F,DLC1AurielsBowSunAttackSpell,,Spell,FireAndForget,Self,DLC1AurielsBowBlessedAreaEffect (Dawnguard.esm:00C60E)|mag=1|area=400|dur=15; DLC1AurielsBowBlessedPlayerSelfEffect (Dawnguard.esm:00CE10)|mag=1|area=0|dur=15,spell signal/effect candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00D664,DLC1AurielShrineCastFXSpell,,Spell,FireAndForget,Self,DLC1AurielShrineCastEffect (Dawnguard.esm:00D663)|mag=0|area=0|dur=0,spell signal/effect candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002838,DLC1crVampireDrain07,,Spell,Concentration,Aimed,crVampireAbsorbHealthConcAimed (Skyrim.esm:08D5C5)|mag=15|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=15|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=15|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002839,DLC1crVampireUnarmedDamage07,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=25|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F4EA,DLC1dunHarkoncrVampireDrain02,,Spell,Concentration,Aimed,crdunHarkonVampireAbsorbHealthConcAimed (Dawnguard.esm:00FC75)|mag=8|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=8|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=8|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F4E9,DLC1dunHarkoncrVampireDrain03,,Spell,Concentration,Aimed,crdunHarkonVampireAbsorbHealthConcAimed (Dawnguard.esm:00FC75)|mag=10|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=10|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=10|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F4E8,DLC1dunHarkoncrVampireDrain04,,Spell,Concentration,Aimed,crdunHarkonVampireAbsorbHealthConcAimed (Dawnguard.esm:00FC75)|mag=12|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=12|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=12|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F4E7,DLC1dunHarkoncrVampireDrain05,,Spell,Concentration,Aimed,crdunHarkonVampireAbsorbHealthConcAimed (Dawnguard.esm:00FC75)|mag=15|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=15|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=15|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F4E6,DLC1dunHarkoncrVampireDrain06,,Spell,Concentration,Aimed,crdunHarkonVampireAbsorbHealthConcAimed (Dawnguard.esm:00FC75)|mag=20|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=20|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=20|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F4E5,DLC1dunHarkoncrVampireDrain07,,Spell,Concentration,Aimed,crdunHarkonVampireAbsorbHealthConcAimed (Dawnguard.esm:00FC75)|mag=23|area=0|dur=1; crVampireAbsorbMagickaConcAimed (Skyrim.esm:08D5C6)|mag=23|area=0|dur=1; crVampireAbsorbStaminaConcAimed (Skyrim.esm:08D5C4)|mag=23|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010E18,DLC1FXCastVampireBleedSpell,,Spell,FireAndForget,Self,DLC1FXBleedVampireDeathCastEffect (Dawnguard.esm:010E17)|mag=0|area=0|dur=9,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010E12,DLC1FXShellVampireBleedSpell,,Spell,Concentration,Aimed,DLC1FXBleedVampireDeathEffect (Dawnguard.esm:010E11)|mag=0|area=0|dur=3,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0068B2,DLC1nVampireBatsAmuletSpell,,Spell,FireAndForget,Self,DLC1nVampireBatsAmuletEffect (Dawnguard.esm:0068B3)|mag=15|area=0|dur=2,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0068B4,DLC1nVampireBatsAmuletSpellDMG,,Spell,Concentration,Aimed,DLC1nVampireBatsAmuletEffectDMG (Dawnguard.esm:0068B5)|mag=10|area=0|dur=5,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0068B1,DLC1nVampireBatsSpell,,LesserPower,FireAndForget,Self,DLC1BatsEffect (Dawnguard.esm:01571A)|mag=1|area=0|dur=2,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E7AF,DLC1nVampireBloodCloakSpell,,Spell,FireAndForget,Self,DLC1nVampireBloodCloakEffect (Dawnguard.esm:00E7B0)|mag=15|area=0|dur=30,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E7B1,DLC1nVampireBloodPlagueSpell,,Spell,FireAndForget,Aimed,DLC1nVampireBloodPlagueEffect (Dawnguard.esm:00E7B2)|mag=20|area=15|dur=10,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E7D2,DLC1nVampireBloodyGripSpell,,Spell,Concentration,Self,DLC1VampireGrabActorEffect (Dawnguard.esm:007EBD)|mag=1|area=0|dur=0; DLC1nVampireBloodyGripCloakEffect (Dawnguard.esm:00E7D7)|mag=10|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E7C7,DLC1nVampireDrainShadeSpell,,Spell,Concentration,Aimed,DLC1nVampireDrainShadeEffect (Dawnguard.esm:00E7D1)|mag=35|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01462A,DLC1nVampireEnhancements,,Ability,ConstantEffect,Self,RaceKhajiitUnarmedDamage (Skyrim.esm:10C4E7)|mag=20|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=100|area=0|dur=86313600; AbFortifyMagickaHighElf (Skyrim.esm:0CDA4B)|mag=100|area=0|dur=86313600; AbFortifyMagickaRate (Skyrim.esm:05312B)|mag=2|area=0|dur=86313600,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E7F8,DLC1nVampireMagickaDrainClawsSpell,,Ability,FireAndForget,Touch,DLC1nVampireMagickaDrainClaws (Dawnguard.esm:00E7E9)|mag=5|area=0|dur=4,curse/disease state source,candidate-extracted
